source,label,kind,n_states,China,Cuba,Hezbollah,Iran,Russia,Tricontinental: Institute for Social Research,Venezuela
belen,Matthew Matt Belen,person,2,I,,,,I,,
benjamin,Medea Benjamin,person,2,I,,,C,,,
delacruz,Claudia De la Cruz,person,2,,,,I,,,I
delossantos,Manolo de los Santos,person,2,,I,,I,,,
evans,Jodie Evans,person,2,I,,,I,,,
hrizi,Nathalie Patricia Hrizi,person,2,I,I,,,,,
hu,Rachel Hu,person,2,I,,,,I,,
lariva,Gloria La Riva,person,2,,,,,I,,I
singham,Neville Roy Singham,person,2,I,,,,,,I
tighe_barry,Tighe Barry,person,2,I,,,C,,,
anderson-figueroa,Jo Anderson-Figueroa,person,1,I,,,,,,
ann_wright,Ann Wright,person,1,,,,C,,,
baker_gordon,General Gordon Baker Jr.,person,1,,I,,,,,
baptist,William Willie Baptist Jr.,person,1,,I,,,,,
ben_becker,Ben Becker,person,1,I,,,,,,
bounds,Tajee Bounds,person,1,,I,,,,,
brian_becker,Brian Becker,person,1,I,,,,,,
chak,Tings Chak,person,1,I,,,,,,
codepink,CODEPINK,org,1,I,,,,,,
craig,Hannah Priscilla Craig,person,1,,I,,,,,
croce,STEIN-DELLA CROCE,person,1,I,,,,,,
garcia,Karina Garcia,person,1,I,,,,,,
goodwin,Alicia Thilani Singham Goodwin,person,1,I,,,,,,
grenyion,Kristen Grenyion,person,1,I,,,,,,
henderson,Rita Henderson,person,1,I,,,,,,
jvp,Jewish Voice for Peace (JVP),org,1,,,,I,,,
kleiner,Franziska Kleiner,person,1,I,,,,,,
leila_zand,Leila Zand,person,1,,,,C,,,
niac,National Iranian American Council (NIAC),org,1,,,,C,,,
psl,Party for Socialism & Liberation,org,1,,,,,,I,
puryear,Eugene Puryear,person,1,,,,,I,,
reyes,Karla Reyes,person,1,,,,I,,,
richard_becker,Richard Becker,person,1,I,,,,,,
rub_p_george_galloway,George Galloway,person,1,,,,,I,,
rub_p_gustavo_petro,Gustavo Petro,person,1,,,,,,,I
rub_palestinian_islamic_jihad,Palestinian Islamic Jihad,org,1,,,I,,,,
rub_zimbabwe_african_people_s,Zimbabwe African People's Union,org,1,,I,,,,,
singham_shanti,Shanti Singham,person,1,I,,,,,,
stein,Abby Stein (JVP Rabbinical Council),person,1,,,,C,,,
venezuela,Venezuela,concept,1,,I,,,,,
