source,label,kind,source_country,state,edge_label,confidence,slices,url
anderson-figueroa,Jo Anderson-Figueroa,person,,China,China tie,inferred,singham-spine,https://jis.gov.jm/jamaicans-receive-scholarships-from-china/
belen,Matthew Matt Belen,person,,China,China tie,inferred,singham-spine,https://www.imdb.com/name/nm11709082/
ben_becker,Ben Becker,person,US,China,China tie,inferred,singham-spine,https://liberationnews.org/author/brian_becker/
benjamin,Medea Benjamin,person,,China,China tie,inferred,singham-spine,https://en.wikipedia.org/wiki/Medea_Benjamin
brian_becker,Brian Becker,person,,China,China tie,inferred,singham-spine,https://www.influencewatch.org/person/brian-becker/
chak,Tings Chak,person,,China,China tie,inferred,singham-spine,https://tsinghua.academia.edu/TingsChak
codepink,CODEPINK,org,US,China,foreign tie,inferred,_mined,https://www.banks.senate.gov/news/press-releases/senator-jim-banks-to-attorney-general-bondi-i-urge-you-to-investigate-code-pink-for-potential-violations-of-fara/
croce,STEIN-DELLA CROCE,person,,China,China tie,inferred,singham-spine,https://medium.com/@tri_continental/for-immediate-release-contact-celina-della-croce-coordinator-celina-thetricontinental-org-5819cc980775
evans,Jodie Evans,person,,China,China tie,inferred,singham-spine,https://www.facebook.com/jodie.evans.169/
garcia,Karina Garcia,person,,China,"director/treasurer, Singham JEF",inferred,singham-spine,https://www.btcpolicy.org/articles/foreign-influence-campaign-against-american-ai-part-ii-singham-ground-game
goodwin,Alicia Thilani Singham Goodwin,person,,China,China tie,inferred,singham-spine,https://news.mit.edu/2014/nine-mit-students-and-alumni-win-fulbright-grants
grenyion,Kristen Grenyion,person,,China,China tie,inferred,singham-spine,https://web.archive.org/web/20230808055155/https://www.oneloveunionjodieandroy.com/
henderson,Rita Henderson,person,,China,China tie,inferred,singham-spine,https://newlinesmag.com/reportage/the-big-business-of-uyghur-genocide-denial/
hrizi,Nathalie Patricia Hrizi,person,,China,China tie,inferred,singham-spine,https://www.ussearch.com/people-search/nathalie-hrizi/
hu,Rachel Hu,person,,China,China tie,inferred,singham-spine,https://www.linkedin.com/in/rachel-hu-5b707a22a/
kleiner,Franziska Kleiner,person,,China,ran United Community Fund (Thoughtworks),inferred,singham-spine,https://www.influencewatch.org/non-profit/united-community-fund/
richard_becker,Richard Becker,person,,China,China tie,inferred,singham-spine,https://missionlocal.org/2019/08/local-socialists-see-the-fog-of-anti-communism-lifting/
singham,Neville Roy Singham,person,,China,China tie,inferred,singham-spine,https://newlinesmag.com/reportage/the-big-business-of-uyghur-genocide-denial/
singham_shanti,Shanti Singham,person,,China,China tie,inferred,singham-spine,https://jewishinsider.com/2026/03/neville-roy-singham-family-embedded-zohran-mamdani/
tighe_barry,Tighe Barry,person,,China,"visited China 2026, praised CCP",inferred,singham-spine,https://www.trtworld.com/magazine/american-activist-from-vietnam-to-gaza-war-my-government-lies-to-me-18204641
baker_gordon,General Gordon Baker Jr.,person,,Cuba,Cuba tie,inferred,singham-spine,https://en.wikipedia.org/wiki/General_Baker
baptist,William Willie Baptist Jr.,person,,Cuba,Cuba tie,inferred,singham-spine,https://housingjusticeoralhistory.org/projects/picture-the-homeless-1/interviews/willie-baptist-%28interview-2%29-28/
bounds,Tajee Bounds,person,,Cuba,led BLM delegation to Cuba,inferred,singham-spine,https://peoplesforum.org/about/staff/
craig,Hannah Priscilla Craig,person,,Cuba,Cuba tie,inferred,singham-spine,https://peoplesforum.org/about/staff/
delossantos,Manolo de los Santos,person,US,Cuba,foreign tie,inferred,_mined,https://www.yahoo.com/news/manolo-los-santos-leader-hamas-205656272.html
hrizi,Nathalie Patricia Hrizi,person,,Cuba,Cuba tie,inferred,singham-spine,https://www.ussearch.com/people-search/nathalie-hrizi/
rub_zimbabwe_african_people_s,Zimbabwe African People's Union,org,Zimbabwe,Cuba,Soviet/Cuban-trained ZPRA (historical),inferred,rubio-cuba,https://www.state.gov/cuba-the-capital-of-21st-century-communism
venezuela,Venezuela,concept,Venezuela,Cuba,foreign tie,inferred,_mined,https://rosalux.nyc/cuba-is-being-strangled/
rub_palestinian_islamic_jihad,Palestinian Islamic Jihad,org,,Hezbollah,foreign tie,inferred,_mined,https://en.wikipedia.org/wiki/Palestinian_Islamic_Jihad
ann_wright,Ann Wright,person,,Iran,"co-organized Feb 2019 CODEPINK Tehran delegation, met FM Zarif, FBI-interrogated on return",confirmed,iran-network,https://www.codepink.org/day_2
benjamin,Medea Benjamin,person,,Iran,"Press TV (61 CDR contacts), 2008 & 2019 Tehran delegations, FM Zarif meeting, New Horizon 2014, FBI/FARA interrogation",confirmed,iran-network|singham-spine,https://networkcontagion.us/reports/following-the-benjamins-how-a-48-million-foundation-operated-an-iran-aligned-influence-network-outside-state-oversight-in-florida/
delacruz,Claudia De la Cruz,person,US,Iran,Iran tie,inferred,singham-spine,https://en.wikipedia.org/wiki/Claudia_De_la_Cruz
delossantos,Manolo de los Santos,person,US,Iran,praised Iran 'resistance'; Times Sq protests,inferred,singham-spine,https://www.yahoo.com/news/manolo-los-santos-leader-hamas-205656272.html
evans,Jodie Evans,person,,Iran,Arc of Justice registered agent; no direct personal Iran-contact receipt found (financial/legal infrastructure tie only),inferred,iran-network|singham-spine,https://www.facebook.com/jodie.evans.169/
jvp,Jewish Voice for Peace (JVP),org,,Iran,weak: council member at 2024 Iran meeting,inferred,iran-network,https://www.adl.org/resources/backgrounder/jewish-voice-peace-jvp
leila_zand,Leila Zand,person,,Iran,CODEPINK Director of Citizen Diplomacy with Iran; arranged 2008 & 2019 Iranian Foreign Ministry meetings,confirmed,iran-network,https://www.codepink.org/leila_zand
niac,National Iranian American Council (NIAC),org,,Iran,"Iranian-American advocacy org; founder arranged Congressional meetings for FM Zarif; Senate FARA referral (access/contact tie, not funding)",confirmed,iran-network,https://www.cotton.senate.gov/news/press-releases/cotton-braun-and-cruz-urge-doj-investigation-of-niac
reyes,Karla Reyes,person,,Iran,Iran tie,inferred,singham-spine,https://www.linkedin.com/in/karla-reyes-810a628/
stein,Abby Stein (JVP Rabbinical Council),person,,Iran,"attended Sept 2024 NYC meeting convened by Iranian government with President Pezeshkian, days before Iran's missile strikes on Israel",confirmed,iran-network,https://www.adl.org/resources/backgrounder/jewish-voice-peace-jvp
tighe_barry,Tighe Barry,person,,Iran,"CODEPINK Art Director; 2015 Iranian Red Crescent ship delegation, October 2019 Tehran delegation",confirmed,iran-network,https://www.codepink.org/2_us_citizens_participate_in_iranian_peace_boat_to_stop_saudi_attacks_on_yemen
belen,Matthew Matt Belen,person,,Russia,Russia tie,inferred,singham-spine,https://www.imdb.com/name/nm11709082/
hu,Rachel Hu,person,,Russia,Russia tie,inferred,singham-spine,https://www.linkedin.com/in/rachel-hu-5b707a22a/
lariva,Gloria La Riva,person,,Russia,Russia tie,inferred,singham-spine,https://en.wikipedia.org/wiki/Gloria_La_Riva
puryear,Eugene Puryear,person,,Russia,Russia tie,inferred,singham-spine,https://en.wikipedia.org/wiki/Eugene_Puryear
rub_p_george_galloway,George Galloway,person,UK,Russia,foreign tie,inferred,_mined,https://en.wikipedia.org/wiki/George_Galloway
psl,Party for Socialism & Liberation,org,US,Tricontinental: Institute for Social Research,foreign tie,inferred,_mined,https://www.globalsecurity.org/military/world/usa/government/political-parties-psl.htm
delacruz,Claudia De la Cruz,person,US,Venezuela,Venezuela tie,inferred,singham-spine,https://www.peaceandfreedom.us/index.php/news/elections-campaigns/claudia-de-la-cruz-karina-garcia-the-bios
lariva,Gloria La Riva,person,,Venezuela,Venezuela tie,inferred,singham-spine,https://en.wikipedia.org/wiki/Gloria_La_Riva
rub_p_gustavo_petro,Gustavo Petro,person,Colombia,Venezuela,foreign tie,inferred,_mined,https://en.wikipedia.org/wiki/Gustavo_Petro
singham,Neville Roy Singham,person,,Venezuela,Venezuela tie,inferred,singham-spine,https://www.washingtonexaminer.com/news/investigations/4408061/who-funds-groups-protesting-america-capture-maduro/
