source,label,kind,n_states,China,Cuba,Hezbollah,Iran,Russia,Tricontinental: Institute for Social Research,Venezuela
belen,Matthew Matt Belen,person,2,I,,,,I,,
benjamin,Medea Benjamin,person,2,I,,,C,,,
delacruz,Claudia De la Cruz,person,2,,,,I,,,I
delossantos,Manolo de los Santos,person,2,,I,,I,,,
evans,Jodie Evans,person,2,I,,,I,,,
hrizi,Nathalie Patricia Hrizi,person,2,I,I,,,,,
hu,Rachel Hu,person,2,I,,,,I,,
lariva,Gloria La Riva,person,2,,,,,I,,I
singham,Neville Roy Singham,person,2,I,,,,,,I
tighe_barry,Tighe Barry,person,2,I,,,C,,,
