node,label,kind,node_layer,relation,confidence,edge_label,compiler_caveat,magnitude
rub_african_national_congress,African National Congress,org,context,cited_context,inferred,report §I: named in report,,
rub_al_tajammu,Al-Tajammu,org,context,cited_context,inferred,report §VIII: named in report,,
rub_amazon_labor_union,Amazon Labor Union,org,context,cited_context,inferred,report §V: named in report,,
rub_p_angela_davis,Angela Davis,person,context,cited_context,inferred,named in report,,
rub_belly_of_the_beast_llc,Belly of the Beast LLC,org,context,cited_context,inferred,report §V: named in report,,
rub_black_lives_matter_grassro,Black Lives Matter Grassroots,org,context,cited_context,inferred,report §V: named in report,TIER B,
rub_black_lives_matter_at_scho,Black Lives Matter at School,org,context,cited_context,inferred,report §V: named in report,TIER B,
rub_equality_for_flatbush,Equality for Flatbush,org,context,cited_context,inferred,report §VII: named in report,,
rub_george_floyd_riots_antifa,George Floyd riots / Antifa / campus activism,concept,context,cited_context,inferred,report §VIII: movement/event cite-only,,
rub_haitian_women_for_haitian,Haitian Women for Haitian Refugees,org,context,cited_context,inferred,report §VII: named in report,,
jacobin,Jacobin,org,veneer,cited_context,inferred,report §I: named in report,,
rub_nation_of_islam,Nation of Islam,org,context,cited_context,inferred,1961 Castro-Malcolm X meeting (context),,
rub_national_conference_of_bla,National Conference of Black Lawyers,org,context,cited_context,inferred,report §V: named in report,,
rub_olas,OLAS,org,context,cited_context,inferred,named: Carmichael 1967 Havana speech,,
rub_thousand_currents,Thousand Currents,org,context,cited_context,inferred,named: BLM GNF fiscal sponsor (Tier B),TIER B,67.5
rub_changingfrequencies,changingFrequencies,org,context,cited_context,inferred,named in report (sec.VII),,
rub_democratic_front_for_the_l,Democratic Front for the Liberation of Palestine,org,terror,cited_designation,inferred,report §VIII: cited for designation/nexus (NOT a funded member),,
rub_eln,ELN,org,terror,cited_designation,inferred,report §I-III: cited for designation/nexus (NOT a funded member),,
fsln,FSLN — Sandinista National Liberation Front,org,state,cited_designation,inferred,report §I-III: cited for designation/nexus (NOT a funded member),,
rub_hamas,Hamas,org,terror,cited_designation,inferred,report §VIII: cited for designation/nexus (NOT a funded member),,
rub_hezbollah,Hezbollah,org,terror,cited_designation,inferred,report §VIII: cited for designation/nexus (NOT a funded member),,
rub_houthis,Houthis,org,terror,cited_designation,inferred,report §VIII: cited for designation/nexus (NOT a funded member),,
rub_m_19,M-19,org,terror,cited_designation,inferred,report §I-III: cited for designation/nexus (NOT a funded member),,
rub_palestine_liberation_organ,Palestine Liberation Organization,org,terror,cited_designation,inferred,"report §I-III, VIII: cited for designation/nexus (NOT a funded member)",,
rub_palestinian_islamic_jihad,Palestinian Islamic Jihad,org,terror,cited_designation,inferred,report §VIII: cited for designation/nexus (NOT a funded member),,
pflp,Popular Front for the Liberation of Palestine (PFLP),org,terror,cited_designation,inferred,report §VIII: cited for designation/nexus (NOT a funded member),,
rub_tupamaros,Tupamaros,org,terror,cited_designation,inferred,report §I-III: cited for designation/nexus (NOT a funded member),,
rub_black_liberation_army,Black Liberation Army,org,context,cited_historical,inferred,report §V-VI: historical/lineage cite — NOT current funded member,,
rub_black_panther_party,Black Panther Party,org,context,cited_historical,inferred,"report §I-III, V-VI: historical/lineage cite — NOT current funded member",,
rub_faln,FALN,org,context,cited_historical,inferred,report §I-III: historical/lineage cite — NOT current funded member,,
rub_fair_play_for_cuba_committ,Fair Play for Cuba Committee,org,context,cited_historical,inferred,"report §I-III, V-VI: historical/lineage cite — NOT current funded member",,
rub_macheteros,Macheteros,org,context,cited_historical,inferred,report §I-III: historical/lineage cite — NOT current funded member,,
rub_may_19th_communist_organiz,May 19th Communist Organization,org,context,cited_historical,inferred,named sec.V/VII: WUO lineage,,
rub_montoneros,Montoneros,org,terror,cited_historical,inferred,"sec.I-III: Cuba-funded (1970s, defunct)",,
rub_republic_of_new_afrika,Republic of New Afrika,org,context,cited_historical,inferred,report §V-VI: historical/lineage cite — NOT current funded member,,
rub_student_nonviolent_coordin,Student Nonviolent Coordinating Committee,org,context,cited_historical,inferred,report §V-VI: historical/lineage cite — NOT current funded member,,
rub_students_for_a_democratic,Students for a Democratic Society,org,context,cited_historical,inferred,report §V-VI: historical/lineage cite — NOT current funded member,,
rub_weather_underground,Weather Underground,org,context,cited_historical,inferred,"report §I-III, V-VI, VIII: historical/lineage cite — NOT current funded member",,
rub_british_cuba_solidarity_ca,British Cuba Solidarity Campaign,org,money,cited_network,inferred,report §V: named in report (Cuba-directed),,
rub_canadian_network_on_cuba,Canadian Network on Cuba,org,money,cited_network,inferred,named sec.V: Che Guevara Work Brigade,,
rub_germany_cuba_friendship_as,Germany-Cuba Friendship Association,org,money,cited_network,inferred,NNOC/coalition roster (Tier D) — NOT named in report text; §V milieu context,,
rub_national_network_on_cuba,National Network on Cuba,org,center,cited_network,confirmed,report §VII: NNOC = the documented US Cuba-solidarity coalition hub,,
rub_alpha_66,Alpha 66,org,opposition,cited_opposition,inferred,report §IV: anti-Castro opposition (Wasp target) — NOT network,,
rub_brothers_to_the_rescue,Brothers to the Rescue,org,opposition,cited_opposition,inferred,anti-Castro exile group (Wasp target),,
rub_cuban_american_national_fo,Cuban American National Foundation,org,opposition,cited_opposition,inferred,report §IV: anti-Castro opposition (Wasp target) — NOT network,,
rub_f_4_commandos,F-4 Commandos,org,opposition,cited_opposition,inferred,report §IV: anti-Castro opposition (Wasp target) — NOT network,,
