state_id,state,source,source_label,source_kind,relation,confidence,edge_label
china,China,codepink,CODEPINK,org,advocates,inferred,advocates
china,China,russia,Russia,concept,aligned,inferred,aligned
china,China,singham,Neville Roy Singham,person,aligned,inferred,China-resident
china,China,xiao,Sheila Xiao,person,aligned,inferred,pro-Beijing op-ed; taught China course
china,China,anderson-figueroa,Jo Anderson-Figueroa,person,foreign_tie,inferred,China tie
china,China,belen,Matthew Matt Belen,person,foreign_tie,inferred,China tie
china,China,ben_becker,Ben Becker,person,foreign_tie,inferred,China tie
china,China,benjamin,Medea Benjamin,person,foreign_tie,inferred,China tie
china,China,brian_becker,Brian Becker,person,foreign_tie,inferred,China tie
china,China,chak,Tings Chak,person,foreign_tie,inferred,China tie
china,China,codepink,CODEPINK,org,foreign_tie,inferred,foreign tie
china,China,croce,STEIN-DELLA CROCE,person,foreign_tie,inferred,China tie
china,China,evans,Jodie Evans,person,foreign_tie,inferred,China tie
china,China,garcia,Karina Garcia,person,foreign_tie,inferred,"director/treasurer, Singham JEF"
china,China,goodwin,Alicia Thilani Singham Goodwin,person,foreign_tie,inferred,China tie
china,China,grenyion,Kristen Grenyion,person,foreign_tie,inferred,China tie
china,China,henderson,Rita Henderson,person,foreign_tie,inferred,China tie
china,China,hrizi,Nathalie Patricia Hrizi,person,foreign_tie,inferred,China tie
china,China,hu,Rachel Hu,person,foreign_tie,inferred,China tie
china,China,kleiner,Franziska Kleiner,person,foreign_tie,inferred,ran United Community Fund (Thoughtworks)
china,China,richard_becker,Richard Becker,person,foreign_tie,inferred,China tie
china,China,singham,Neville Roy Singham,person,foreign_tie,inferred,China tie
china,China,singham_shanti,Shanti Singham,person,foreign_tie,inferred,China tie
china,China,tighe_barry,Tighe Barry,person,foreign_tie,inferred,"visited China 2026, praised CCP"
china,China,p_national_immigrant_solidarity_network,National Immigrant Solidarity Network,project,organized,inferred,organized
china,China,rub_p_robert_f_williams,Robert F. Williams,person,traveled_to,inferred,traveled to
cuba,Cuba,rub_alpha_66,Alpha 66,org,active_in,inferred,active in
cuba,Cuba,afgj,Alliance for Global Justice,org,advocated_for,inferred,advocated for
cuba,Cuba,rub_cuban_american_national_fo,Cuban American National Foundation,org,advocated_isolation_of,inferred,advocated isolation of
cuba,Cuba,benjamin,Medea Benjamin,person,aided,inferred,aided
cuba,Cuba,codepink,CODEPINK,org,aided,inferred,aided
cuba,Cuba,jordan,James Patrick Jordan,person,attended,inferred,attended
cuba,Cuba,brian_becker,Brian Becker,person,defended,inferred,defended
cuba,Cuba,lariva,Gloria La Riva,person,defends,inferred,defends
cuba,Cuba,rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,org,delegation,confirmed,8 delegations (1992–2022)
cuba,Cuba,rub_international_may_day_brig,International May Day Brigade,org,delegation,confirmed,1 delegations
cuba,Cuba,hatuey,The Hatuey Project,project,delivered,inferred,delivered
cuba,Cuba,hatuey,The Hatuey Project,project,donated,inferred,donated
cuba,Cuba,hub_assata_shakur,Assata Shakur,person,exiled,inferred,exiled
cuba,Cuba,baker_gordon,General Gordon Baker Jr.,person,foreign_tie,inferred,Cuba tie
cuba,Cuba,baptist,William Willie Baptist Jr.,person,foreign_tie,inferred,Cuba tie
cuba,Cuba,bounds,Tajee Bounds,person,foreign_tie,inferred,led BLM delegation to Cuba
cuba,Cuba,craig,Hannah Priscilla Craig,person,foreign_tie,inferred,Cuba tie
cuba,Cuba,delossantos,Manolo de los Santos,person,foreign_tie,inferred,foreign tie
cuba,Cuba,hrizi,Nathalie Patricia Hrizi,person,foreign_tie,inferred,Cuba tie
cuba,Cuba,rub_zimbabwe_african_people_s,Zimbabwe African People's Union,org,foreign_tie,inferred,Soviet/Cuban-trained ZPRA (historical)
cuba,Cuba,venezuela,Venezuela,concept,foreign_tie,inferred,foreign tie
cuba,Cuba,ipa,International Peoples' Assembly,concept,hosted,inferred,hosted
cuba,Cuba,harris,Roger D. Harris,person,interest,inferred,interest
cuba,Cuba,tricontinental,Tricontinental: Institute for Social Research,org,named_after,inferred,named after 1966 Havana conference
cuba,Cuba,rub_brothers_to_the_rescue,Brothers to the Rescue,org,opposes,inferred,opposes
cuba,Cuba,rub_cuban_american_national_fo,Cuban American National Foundation,org,opposes,inferred,opposes
cuba,Cuba,rub_fair_play_for_cuba_committ,Fair Play for Cuba Committee,org,organized trips to,inferred,organized trips to
cuba,Cuba,hub_assata_shakur,Assata Shakur,person,political_asylum,inferred,political asylum
cuba,Cuba,rub_venceremos_brigade,Venceremos Brigade,org,sends_volunteers_to,confirmed,9 delegations (1969–2026)
cuba,Cuba,hatuey,The Hatuey Project,project,solidarity,confirmed,11 delegations (2022–2026)
cuba,Cuba,rub_cuban_mission_to_the_un,Cuban Mission to the UN,org,state_organ,inferred,Cuba's UN mission (MINREX)
cuba,Cuba,lariva,Gloria La Riva,person,support,inferred,support
cuba,Cuba,rub_national_network_on_cuba,National Network on Cuba,org,supports,confirmed,6 delegations (2000–2026)
cuba,Cuba,global_exchange,Global Exchange,org,travel,confirmed,23 delegations (1990–2026)
cuba,Cuba,rub_p_robert_f_williams,Robert F. Williams,person,traveled_to,inferred,traveled to
cuba,Cuba,delacruz,Claudia De la Cruz,person,visited,inferred,visited
cuba,Cuba,jordan,James Patrick Jordan,person,visited,inferred,visited
