country,kind,nodes
<unknown>,person,130
<unknown>,project,101
<unknown>,org,59
US,person,58
US,org,55
US,project,20
Venezuela,concept,10
Germany,org,8
Cuba,person,7
Iran,org,7
Cuba,org,6
<unknown>,concept,4
Germany,person,3
Nicaragua,person,3
South Africa,org,3
Venezuela,person,3
Brazil,person,2
China,person,2
Iran,person,2
Israel,person,2
Nicaragua,org,2
Nicaragua,concept,2
UK,person,2
UK,org,2
Argentina,person,1
Brazil,concept,1
Canada,org,1
China,concept,1
Colombia,org,1
Colombia,person,1
Cuba,concept,1
Germany,concept,1
Greece,person,1
Greece,org,1
Iran,concept,1
Palestine,person,1
Philippines,person,1
Russia,concept,1
Spain,person,1
Spain,org,1
US,concept,1
Venezuela,project,1
Zimbabwe,org,1
