slice,country,nodes,share_within_slice
afgj-interlock,<unknown>,116,74%
afgj-interlock,US,34,22%
afgj-interlock,Venezuela,2,1%
afgj-interlock,Nicaragua,2,1%
afgj-interlock,Israel,2,1%
afgj-interlock,Cuba,1,1%
afgj-projects,<unknown>,101,82%
afgj-projects,US,21,17%
afgj-projects,Venezuela,1,1%
rubio-cuba,<unknown>,52,49%
rubio-cuba,US,29,27%
rubio-cuba,Cuba,12,11%
rubio-cuba,South Africa,3,3%
rubio-cuba,UK,2,2%
rubio-cuba,Colombia,2,2%
rubio-cuba,Nicaragua,1,1%
rubio-cuba,Venezuela,1,1%
rubio-cuba,Canada,1,1%
rubio-cuba,Germany,1,1%
rubio-cuba,Zimbabwe,1,1%
rubio-cuba,China,1,1%
singham-spine,<unknown>,48,62%
singham-spine,US,21,27%
singham-spine,China,3,4%
singham-spine,Cuba,1,1%
singham-spine,Iran,1,1%
singham-spine,Russia,1,1%
singham-spine,Palestine,1,1%
singham-spine,Venezuela,1,1%
latam-solidarity,US,30,60%
latam-solidarity,Venezuela,10,20%
latam-solidarity,Nicaragua,5,10%
latam-solidarity,Brazil,3,6%
latam-solidarity,Argentina,1,2%
latam-solidarity,<unknown>,1,2%
rls-germany,US,28,57%
rls-germany,Germany,11,22%
rls-germany,<unknown>,3,6%
rls-germany,UK,2,4%
rls-germany,Greece,2,4%
rls-germany,Spain,2,4%
rls-germany,Philippines,1,2%
iran-network,<unknown>,15,39%
iran-network,US,12,32%
iran-network,Iran,10,26%
iran-network,China,1,3%
hatuey,<unknown>,11,52%
hatuey,US,8,38%
hatuey,Cuba,1,5%
hatuey,China,1,5%
