id,label,kind,primary_slice,declared_country,final_country,place,method,matched_text,ambiguous
bertoldi,Manuel Bertoldi,person,latam-solidarity,Argentina,Argentina,,declared,,
estrada,Paola Estrada,person,latam-solidarity,Brazil,Brazil,,declared,,
fsp,Foro de São Paulo,concept,latam-solidarity,Brazil,Brazil,,declared,,
valente,Mónica Valente,person,latam-solidarity,Brazil,Brazil,,declared,,
rub_canadian_network_on_cuba,Canadian Network on Cuba,org,rubio-cuba,Canada,Canada,,declared,,
china,China (PRC),concept,singham-spine,China,China,,declared,,
rub_p_gustavo_petro,Gustavo Petro,person,rubio-cuba,Colombia,Colombia,,declared,,
cuba,Cuba,concept,singham-spine,Cuba,Cuba,,declared,,
hub_assata_shakur,Assata Shakur,person,afgj-interlock,Cuba,Cuba,,declared,,
rub_amistur_cuba_sa,Amistur Cuba SA,org,rubio-cuba,Cuba,Cuba,,declared,,
rub_cuban_interests_section,Cuban Interests Section,org,rubio-cuba,Cuba,Cuba,,declared,,
rub_cuban_mission_to_the_un,Cuban Mission to the UN,org,rubio-cuba,Cuba,Cuba,,declared,,
rub_p_antonio_guerrero,Antonio Guerrero,person,rubio-cuba,Cuba,Cuba,,declared,,
rub_p_charles_charlie_hill,Charles 'Charlie' Hill,person,rubio-cuba,Cuba,Cuba,,declared,,
rub_p_fernando_gonz_lez_llor,Fernando González Llort,person,rubio-cuba,Cuba,Cuba,,declared,,
rub_p_gerardo_hern_ndez,Gerardo Hernández,person,rubio-cuba,Cuba,Cuba,,declared,,
rub_p_ram_n_laba_ino,Ramón Labañino,person,rubio-cuba,Cuba,Cuba,,declared,,
rub_p_ren_gonz_lez,René González,person,rubio-cuba,Cuba,Cuba,,declared,,
rub_radio_habana,Radio Habana,org,rubio-cuba,Cuba,Cuba,,declared,,
rub_the_wasp_network_red_avisp,The Wasp Network / Red Avispa,org,rubio-cuba,Cuba,Cuba,,declared,,
dagdelen,Sevim Dagdelen,person,rls-germany,Germany,Germany,,declared,,
die_linke,Die Linke,org,rls-germany,Germany,Germany,,declared,,
enkelmann,Dagmar Enkelmann,person,rls-germany,Germany,Germany,,declared,,
fes,Friedrich Ebert Stiftung Inc (FES),org,rls-germany,Germany,Germany,,declared,,
fns,Friedrich Naumann Foundation (FNS),org,rls-germany,Germany,Germany,,declared,,
german_gov,German Federal Government,concept,rls-germany,Germany,Germany,,declared,,
hbs,Heinrich Boell Foundation (HBS),org,rls-germany,Germany,Germany,,declared,,
hss,Hanns Seidel Foundation USA (HSS),org,rls-germany,Germany,Germany,,declared,,
kas,Konrad Adenauer Stiftung Inc (KAS),org,rls-germany,Germany,Germany,,declared,,
rls_berlin,Rosa-Luxemburg-Stiftung e.V. (Berlin),org,rls-germany,Germany,Germany,,declared,,
rub_germany_cuba_friendship_as,Germany-Cuba Friendship Association,org,rubio-cuba,Germany,Germany,,declared,,
trochowski,Daniela Trochowski,person,rls-germany,Germany,Germany,,declared,,
bournous,Yiannis Bournous,person,rls-germany,Greece,Greece,,declared,,
syriza,SYRIZA,org,rls-germany,Greece,Greece,,declared,,
fars_news,Fars News Agency,org,iran-network,Iran,Iran,,declared,,
hispantv,HispanTV,org,iran-network,Iran,Iran,,declared,,
iran,Islamic Republic of Iran (state),concept,iran-network,Iran,Iran,,declared,,
iran_foreign_ministry,Iranian Ministry of Foreign Affairs,org,iran-network,Iran,Iran,,declared,,
iranian_red_crescent,Iranian Red Crescent Society,org,iran-network,Iran,Iran,,declared,,
irgc,Islamic Revolutionary Guard Corps (IRGC),org,iran-network,Iran,Iran,,declared,,
new_horizon,New Horizon Organization,org,iran-network,Iran,Iran,,declared,,
press_tv,Press TV,org,iran-network,Iran,Iran,,declared,,
zarif,Mohammad Javad Zarif,person,iran-network,Iran,Iran,,declared,,
per_gila_svirsky,Gila Svirsky,person,afgj-interlock,Israel,Israel,,declared,,
per_hannah_safran,Hannah Safran,person,afgj-interlock,Israel,Israel,,declared,,
atc,ATC — Asociación de Trabajadores del Campo,org,latam-solidarity,Nicaragua,Nicaragua,,declared,,
ev_nica_delegation_2021,AFGJ Intl Delegation to Nicaragua (Jul 2021),concept,latam-solidarity,Nicaragua,Nicaragua,,declared,,
ev_nica_election_2021,Nicaragua General Election (Nov 2021),concept,latam-solidarity,Nicaragua,Nicaragua,,declared,,
fsln,FSLN — Sandinista National Liberation Front,org,latam-solidarity,Nicaragua,Nicaragua,,declared,,
ortega,Daniel Ortega,person,latam-solidarity,Nicaragua,Nicaragua,,declared,,
per_erika_takeo,Erika Takeo,person,afgj-interlock,Nicaragua,Nicaragua,,declared,,
per_marlen_s_nchez,Marlen Sánchez,person,afgj-interlock,Nicaragua,Nicaragua,,declared,,
bello,Walden Bello,person,rls-germany,Philippines,Philippines,,declared,,
russia,Russia,concept,singham-spine,Russia,Russia,,declared,,
inv_cosatu,COSATU (Congress of South African Trade Unions),org,rubio-cuba,South Africa,South Africa,,declared,,
inv_sacp,South African Communist Party (SACP),org,rubio-cuba,South Africa,South Africa,,declared,,
rub_african_national_congress,African National Congress,org,rubio-cuba,South Africa,South Africa,,declared,,
maura,Eduardo Maura,person,rls-germany,Spain,Spain,,declared,,
podemos,Podemos,org,rls-germany,Spain,Spain,,declared,,
abbott,Diane Abbott,person,rls-germany,UK,UK,,declared,,
rub_british_cuba_solidarity_ca,British Cuba Solidarity Campaign,org,rubio-cuba,UK,UK,,declared,,
rub_p_george_galloway,George Galloway,person,rubio-cuba,UK,UK,,declared,,
uk_labour,UK Labour Party,org,rls-germany,UK,UK,,declared,,
afgj,Alliance for Global Justice,org,afgj-interlock,US,US,,declared,,
answer,ANSWER Coalition,org,hatuey,US,US,,declared,,
bap,Black Alliance for Peace,org,latam-solidarity,US,US,,declared,,
ben_becker,Ben Becker,person,hatuey,US,US,,declared,,
brecht_forum,Brecht Forum,org,rls-germany,US,US,,declared,,
burke,Tom Burke,person,latam-solidarity,US,US,,declared,,
camacaro,William Camacaro,person,latam-solidarity,US,US,,declared,,
clarkgollub,Jill Clark-Gollub,person,latam-solidarity,US,US,,declared,,
codepink,CODEPINK,org,iran-network,US,US,,declared,,
cpc,Congressional Progressive Caucus,org,rls-germany,US,US,,declared,,
delacruz,Claudia De la Cruz,person,hatuey,US,US,,declared,,
delossantos,Manolo de los Santos,person,hatuey,US,US,,declared,,
dpaul,David Paul,person,latam-solidarity,US,US,,declared,,
dsa,Democratic Socialists of America,org,latam-solidarity,US,US,,declared,,
dsa_fund,DSA Fund,org,rls-germany,US,US,,declared,,
friendsatc,Friends of the ATC,org,latam-solidarity,US,US,,declared,,
frso,Freedom Road Socialist Organization,org,latam-solidarity,US,US,,declared,,
harris,Roger D. Harris,person,latam-solidarity,US,US,,declared,,
hoyt,Katherine Hoyt,person,latam-solidarity,US,US,,declared,,
ips,Institute for Policy Studies,org,rls-germany,US,US,,declared,,
jacobin,Jacobin,org,rls-germany,US,US,,declared,,
jordan,James Patrick Jordan,person,latam-solidarity,US,US,,declared,,
kaufman,Chuck Kaufman,person,latam-solidarity,US,US,,declared,,
kovalik,Dan Kovalik,person,latam-solidarity,US,US,,declared,,
kuang,Savannah Kuang,person,latam-solidarity,US,US,,declared,,
nicanet,Nicaragua Network,org,latam-solidarity,US,US,,declared,,
nlg,National Lawyers Guild,org,latam-solidarity,US,US,,declared,,
nunez,Marlon Matthew Nunez,person,latam-solidarity,US,US,,declared,,
pf,The People's Forum,org,hatuey,US,US,,declared,,
psl,Party for Socialism & Liberation,org,hatuey,US,US,,declared,,
rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),org,rls-germany,US,US,,declared,,
souers,Wyatt Souers,person,latam-solidarity,US,US,,declared,,
tfa,Task Force on the Americas,org,latam-solidarity,US,US,,declared,,
tricontinental,Tricontinental: Institute for Social Research,org,latam-solidarity,US,US,,declared,,
uspc,US Peace Council,org,latam-solidarity,US,US,,declared,,
vsn,Venezuela Solidarity Network,org,latam-solidarity,US,US,,declared,,
wfp,Working Families Party,org,rls-germany,US,US,,declared,,
ydsa,Young DSA (YDSA),org,rls-germany,US,US,,declared,,
albamov,ALBA Movimientos,concept,latam-solidarity,Venezuela,Venezuela,,declared,,
ev_antifa_festival_2025,International Anti-Fascist Festival (Caracas Jan 9-11 2025),concept,latam-solidarity,Venezuela,Venezuela,,declared,,
ev_caracas_antifa_2024,Antifascist Congress of Caracas (Nov 28 2024),concept,latam-solidarity,Venezuela,Venezuela,,declared,,
ev_fsp_caracas_2019,25th Foro de São Paulo (Caracas 2019),concept,latam-solidarity,Venezuela,Venezuela,,declared,,
ev_ipa_founding_2019,IPA Founding Assembly (Caracas Feb 2019),concept,latam-solidarity,Venezuela,Venezuela,,declared,,
ev_maduro_inaug_2025,Maduro 3rd Inauguration (Jan 10 2025),concept,latam-solidarity,Venezuela,Venezuela,,declared,,
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),concept,latam-solidarity,Venezuela,Venezuela,,declared,,
ev_wfys_2005,16th World Festival of Youth & Students (Caracas 2005),concept,latam-solidarity,Venezuela,Venezuela,,declared,,
