project,label,category,confidence,url
p_camino_com_n,Camino Común,<uncategorised>,confirmed,https://afgj.org/a-visit-inside-colombias-most-notorious-prison-la-tramacua
p_centro_de_derechos_humanos_del_pac_fic,Centro de Derechos Humanos del Pacífico (Centro Pazífico),<uncategorised>,confirmed,https://afgj.org/death-squad-threatens-wayuu-womens-force-in-la-guajira-colombia
hub_occupy_wall_street,Occupy Wall Street,<uncategorised>,inferred,https://www.influencewatch.org/non-profit/alliance-for-global-justice/
p_international_journal_of_foreign_langu,International Journal of Foreign Language Teaching,Academic,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_bv_solidarity_project,BV Solidarity Project,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_black_lives_matter_tucson,Black Lives Matter Tucson,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_black_lives_matter_oklahoma_city,Black Lives Matter-Oklahoma City,Activism,confirmed,https://www.blmokc.com/
p_black_and_pink_ma,Black and Pink MA,Activism,confirmed,https://www.influencewatch.org/organization/black-and-pink-ma/
p_eritye_papa_desalin,Eritye Papa Desalin,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_hands_up_united,Hands Up United,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_interoccupy,InterOccupy,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_irish_diaspora_decolonization_alliance,Irish Diaspora Decolonization Alliance,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_justice_for_all_coalition,Justice for All Coalition,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_march_4_racial_justice,March 4 Racial Justice,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_march_4_racial_justice_ny,March 4 Racial Justice NY,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_refuse_fascism,Refuse Fascism,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_solidarity_ignite,Solidarity Ignite,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_white_noise_collective,White Noise Collective,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_world_can_t_wait,World Can’t Wait,Activism,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_adastra,AdAstra,Administrative,confirmed,https://adastra.management/about
p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),Agriculture/Education,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,Anti-war,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_411_collective,411 Collective,Art,confirmed,https://www.411collective.com/
p_black_trans_media,Black Trans Media,Art,confirmed,https://www.influencewatch.org/non-profit/black-trans-media/
p_action_bail_fund,Action Bail Fund,Bail,confirmed,https://afgj.salsalabs.org/actionbailfund/index.html
p_bukit_bail_fund_of_pittsburgh,Bukit Bail Fund of Pittsburgh,Bail,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_central_ohio_freedom_fund,Central Ohio Freedom Fund,Bail,confirmed,https://www.facebook.com/COFF614/
p_colorado_freedom_fund,Colorado Freedom Fund,Bail,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_erie_bail_fund,Erie Bail Fund,Bail,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_lancaster_bail_fund,Lancaster Bail Fund,Bail,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_sustainable_orphanages_for_haitian_you,Sustainable Orphanages for Haitian Youth,Charity,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_arizona_palestine_solidarity_alliance,Arizona Palestine Solidarity Alliance,Collective,confirmed,https://www.arizonapalestine.org/about.html
p_centro_solidario_de_puerto_rico,Centro Solidario de Puerto Rico,Collective,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_thompson_house_tucson,Thompson House Tucson,Community Space,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_the_l_i_c_project,The L.I.C. Project,Community/Arts,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_denver_justice_project,Denver Justice Project,Criminal Justice,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_real_name_campaign_nola,Real Name Campaign NOLA,Criminal Justice,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_reale_justice_network,Reale Justice Network,Criminal Justice,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_stop_mass_incarceration_network,Stop Mass Incarceration Network,Criminal Justice,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_poor_people_s_economic_human_rights_ca,Poor People’s Economic Human Rights Campaign,Economic Justice,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_arizona_educators_united,Arizona Educators United,Education,confirmed,https://psuaaup.net/blog/entry/inspired-by-west-virginia-teachers-spread-red-for-ed-movement-across-arizona
p_human_rights_school,Human Rights School,Education,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_peace_education,Peace Education,Education,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_woodbine_education_center,Woodbine Education Center,Education/Community,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_creating_a_more_beloved_community_film,Creating a More Beloved Community Film & Discussion Series,Education/Media,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_nappy_roots_books,Nappy Roots Books,Education/Publishing,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_amigos_de_la_playa,Amigos de la Playa,Environmental,confirmed,https://www.facebook.com/AmigosDeLaPlayaOmetepe#
p_chico_mendes_reforestation_project,Chico Mendes Reforestation Project,Environmental,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_clean_up_the_mines,Clean up the Mines,Environmental,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_reconnect_earth,Reconnect Earth,Environmental,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_upland_grassroots,Upland Grassroots,Environmental,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_philly_thrive,Philly Thrive,Environmental Justice,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_south_bronx_unite,South Bronx Unite,Environmental Justice,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_lupinewood,Lupinewood,Environmental/Community,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_juthour_arboretum,Juthour Arboretum,Environmental/Cultural,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_sustainable_nations,Sustainable Nations,Environmental/Indigenous,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_otros_mundos_a_c,Otros Mundos A.C.,Environmental/Social Justice,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_youth_vs_apocalypse,Youth Vs Apocalypse,Environmental/Youth,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_beef_relief,Beef Relief,Food Bank,confirmed,http://beefrelief.org/
p_real_food_generation,Real Food Generation,Food Justice,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_queer_food_foundation,Queer Food Foundation,Food Justice/LGBTQ,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_kevin_zeese_emerging_activists_fund,Kevin Zeese Emerging Activists Fund,Funding,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_miracle_for_mikeals_legacy_foundation,Miracle For Mikeals Legacy Foundation,Health/Charity,confirmed,https://www.facebook.com/MikealsMiracleDIPGCure
p_suriname_indigenous_health_fund,Suriname Indigenous Health Fund,Health/Indigenous,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_chicago_housing_initiative,Chicago Housing Initiative,Housing,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
p_chicago_housing_justice_league,Chicago Housing Justice League,Housing,confirmed,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
