category,projects,share
Activism,15,12%
International Solidarity,6,5%
Bail,6,5%
Immigration,5,4%
Environmental,5,4%
Legal,4,3%
Criminal Justice,4,3%
Education,3,2%
<uncategorised>,3,2%
LGBTQ,3,2%
Art,2,2%
Travel,2,2%
Collective,2,2%
Union,2,2%
Media,2,2%
Housing,2,2%
Media/Activism,2,2%
Peace/Activism,2,2%
Indigenous,2,2%
Media/Arts,2,2%
Environmental Justice,2,2%
Administrative,1,1%
Training,1,1%
Food Bank,1,1%
Mutual Aid,1,1%
Research,1,1%
Education/Media,1,1%
Legal/Activism,1,1%
Labor/Solidarity,1,1%
Women/Environmental,1,1%
Immigration/Humanitarian,1,1%
Research/Advocacy,1,1%
Agriculture/Education,1,1%
Academic,1,1%
Legal/Advocacy,1,1%
Environmental/Cultural,1,1%
Funding,1,1%
Labor/Activism,1,1%
Immigration/LGBTQ,1,1%
Protest Organization,1,1%
Environmental/Community,1,1%
Health/Charity,1,1%
LGBTQ/Funding,1,1%
Research/Technology,1,1%
Education/Publishing,1,1%
Human Rights,1,1%
Anti-war,1,1%
Immigration/Activism,1,1%
Indigenous/Immigration,1,1%
Environmental/Social Justice,1,1%
Humanitarian,1,1%
Economic Justice,1,1%
Food Justice/LGBTQ,1,1%
Media/Funding,1,1%
Food Justice,1,1%
Pan-African,1,1%
Health/Indigenous,1,1%
Environmental/Indigenous,1,1%
Charity,1,1%
LGBTQ/Cultural,1,1%
Community/Arts,1,1%
Community Space,1,1%
Pan-African/Community,1,1%
Labor/Student,1,1%
LGBTQ/Peace,1,1%
Education/Community,1,1%
Environmental/Youth,1,1%
