mode,spine,seeds,recipient,recipient_label,recipient_kind,depth,path,last_relation
funding_only,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,afgj,Alliance for Global Justice,org,1,arc_of_justice -> afgj,grant
funding_only,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,ccr,Center for Constitutional Rights,org,1,arc_of_justice -> ccr,grant
funding_only,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,global_exchange,Global Exchange,org,1,arc_of_justice -> global_exchange,grant
funding_only,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,grassroots_intl,Grassroots International,org,1,arc_of_justice -> grassroots_intl,grant
funding_only,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,social_good_fund,Social Good Fund,org,1,arc_of_justice -> social_good_fund,grant
funding_only,Singham,singham|psf|jef,afgj,Alliance for Global Justice,org,1,jef -> afgj,grant
funding_only,Singham,singham|psf|jef,answer,ANSWER Coalition,org,1,singham -> answer,funds
funding_only,Singham,singham|psf|jef,btm,BreakThrough News,org,1,singham -> btm,funds
funding_only,Singham,singham|psf|jef,chung,David Sung Mo Chung,person,1,singham -> chung,funds
funding_only,Singham,singham|psf|jef,codepink,CODEPINK,org,1,jef -> codepink,grant
funding_only,Singham,singham|psf|jef,ipa,International Peoples' Assembly,concept,1,singham -> ipa,funds
funding_only,Singham,singham|psf|jef,pf,The People's Forum,org,1,jef -> pf,funds
funding_only,Singham,singham|psf|jef,psl,Party for Socialism & Liberation,org,1,singham -> psl,funds
funding_only,Singham,singham|psf|jef,tricontinental,Tricontinental: Institute for Social Research,org,1,jef -> tricontinental,funds
funding_only,Singham,singham|psf|jef,ucf,United Community Fund,org,1,psf -> ucf,funds
funding_only,RLS Berlin,german_gov|rls_berlin,fes,Friedrich Ebert Stiftung Inc (FES),org,1,german_gov -> fes,funds
funding_only,RLS Berlin,german_gov|rls_berlin,fns,Friedrich Naumann Foundation (FNS),org,1,german_gov -> fns,funds
funding_only,RLS Berlin,german_gov|rls_berlin,hbs,Heinrich Boell Foundation (HBS),org,1,german_gov -> hbs,funds
funding_only,RLS Berlin,german_gov|rls_berlin,hss,Hanns Seidel Foundation USA (HSS),org,1,german_gov -> hss,funds
funding_only,RLS Berlin,german_gov|rls_berlin,kas,Konrad Adenauer Stiftung Inc (KAS),org,1,german_gov -> kas,funds
funding_only,RLS Berlin,german_gov|rls_berlin,p_coalition_of_women_for_peace,Coalition of Women for Peace,project,1,german_gov -> p_coalition_of_women_for_peace,funds
funding_only,RLS Berlin,german_gov|rls_berlin,rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),org,1,rls_berlin -> rls_nyc,funds
funding_only,RLS Berlin,german_gov|rls_berlin,dsa,Democratic Socialists of America,org,2,rls_berlin -> rls_nyc -> dsa,funds
funding_only,RLS Berlin,german_gov|rls_berlin,ydsa,Young DSA (YDSA),org,2,rls_berlin -> rls_nyc -> ydsa,funds
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,afgj,Alliance for Global Justice,org,1,arc_of_justice -> afgj,grant
