edge_idx,funder,funder_label,recipient,recipient_label,relation,confidence,slices,label,headline_usd,headline_fmt,all_amounts,flags,compiler_caveat,url
652,rub_thousand_currents,Thousand Currents,rub_black_lives_matter_global,Black Lives Matter Global Network Foundation,fiscal_sponsor,confirmed,rubio-cuba,"$69.2M as BLM's fiscal sponsor — TIER B, context-only, NEVER a Cuba total",69200000.0,$69.20M,$69.2M,cumulative,TIER B,https://blog.charitywatch.org/legal-battle-ensues-over-control-of-black-lives-matter-global-network-foundation-funds/
130,alvin_benjamin,Alvin Benjamin (1920-2012),arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",funds,confirmed,iran-network,$23.8M via estate: FY15 $15M + FY19 $8.8M (990-PF),23800000.0,$23.80M,$23.8M; $15M; $8.8M,,,https://projects.propublica.org/nonprofits/organizations/841618483
318,jef,Justice and Education Fund (JEF),pf,The People's Forum,funds,confirmed,singham-spine,>$20M 2017-2022,20000000.0,$20.00M,>$20M,lower_bound,,https://waysandmeans.house.gov/2025/09/04/chairman-smith-exposes-u-s-nonprofit-as-likely-ccp-funded-propaganda-arm-operating-under-tax-exempt-status/
562,rls_berlin,Rosa-Luxemburg-Stiftung e.V. (Berlin),rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),funds,confirmed,rls-germany,~$19.1M cumulative 2012-2025 (all 'contributions'),19100000.0,$19.10M,~$19.1M,cumulative|estimate,,https://projects.propublica.org/nonprofits/organizations/453658022
570,rose_benjamin,Rose Benjamin,arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",funds,confirmed,iran-network,"$10,863,060 estate distribution, FY2010 (990-PF)",10863060.0,$10.86M,"$10,863,060",,,https://projects.propublica.org/nonprofits/organizations/841618483
547,psf,People's Support Foundation (PSF),jef,Justice and Education Fund (JEF),grant,confirmed,iran-network,$5.37M (2024) (990),5370000.0,$5.37M,$5.37M,,,https://projects.propublica.org/nonprofits/organizations/821202926
689,ucf,United Community Fund,pf,The People's Forum,funds,confirmed,rls-germany,$3.015M (2019),3015000.0,$3.02M,$3.015M,,,https://www.influencewatch.org/non-profit/the-peoples-forum/
141,arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",grassroots_intl,Grassroots International,grant,confirmed,iran-network,$1.46M cumulative FY2017-2022 (990-PF Sched I),1460000.0,$1.46M,$1.46M,cumulative,,https://projects.propublica.org/nonprofits/organizations/841618483
164,benjamin,Medea Benjamin,arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",funds,confirmed,iran-network,"$1,000,000 personal gift, FY2022 (990-PF Sched B)",1000000.0,$1.00M,"$1,000,000",,,https://projects.propublica.org/nonprofits/organizations/841618483
143,arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",social_good_fund,Social Good Fund,grant,confirmed,iran-network,$855K cumulative FY2018-2022 (990-PF Sched I),855000.0,$855K,$855K,cumulative,,https://projects.propublica.org/nonprofits/organizations/841618483
140,arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",global_exchange,Global Exchange,grant,confirmed,iran-network,"Largest grantee historically, $60K-$405K/yr pre-2015",405000.0,$405K,$60K; $405K,per_year|range,,https://projects.propublica.org/nonprofits/organizations/841618483
138,arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",ccr,Center for Constitutional Rights,grant,confirmed,iran-network,"$400,000 cumulative: $200,000 FY2020 + $200,000 FY2022 (990-PF Schedule I)",400000.0,$400K,"$400,000; $200,000; $200,000",cumulative,,https://projects.propublica.org/nonprofits/organizations/841618483
317,jef,Justice and Education Fund (JEF),codepink,CODEPINK,grant,confirmed,iran-network,"$250,856(2021)+$109,735(2022)=$360,591 (990)",360591.0,$361K,"$250,856; $109,735; $360,591",cumulative,,https://projects.propublica.org/nonprofits/organizations/824975378
137,arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",afgj,Alliance for Global Justice,grant,confirmed,iran-network,"$118,050 cumulative FY2015-2022 (990-PF Sched I)",118050.0,$118K,"$118,050",cumulative,,https://projects.propublica.org/nonprofits/organizations/841618483
602,rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,rub_claudia_jones_school,Claudia Jones School,fiscal_sponsor,inferred,rubio-cuba,"fiscal sponsor ($11,068 disbursed 2024)",11068.0,$11K,"$11,068",,,https://claudiajonesschool.org/
316,jef,Justice and Education Fund (JEF),afgj,Alliance for Global Justice,grant,confirmed,iran-network,"$10,000 (2022) (990)",10000.0,$10K,"$10,000",,,https://projects.propublica.org/nonprofits/organizations/824975378
563,rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),dsa,Democratic Socialists of America,funds,confirmed,rls-germany,"$118 formal grant FY2025 + program funding (Afrosocialists, DS101)",118.0,$118,$118,,,https://www.grantmakers.io/profiles/v0/453658022-rosa-luxemburg-stiftung-inc/
5,afgj,Alliance for Global Justice,hatuey,The Hatuey Project,fiscal_sponsor,confirmed,hatuey,fiscal sponsor (International Solidarity),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
7,afgj,Alliance for Global Justice,p_411_collective,411 Collective,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Art),,,,,,https://www.411collective.com/
8,afgj,Alliance for Global Justice,p_action_bail_fund,Action Bail Fund,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Bail),,,,,,https://afgj.salsalabs.org/actionbailfund/index.html
9,afgj,Alliance for Global Justice,p_adastra,AdAstra,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Administrative),,,,,,https://adastra.management/about
10,afgj,Alliance for Global Justice,p_african_awareness_association,African Awareness Association,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Travel),,,,,,https://web.archive.org/web/20250118162817/https://www.aaa-cubatours.com/
11,afgj,Alliance for Global Justice,p_alianza_ind_gena_sin_fronteras_indigen,Alianza Indígena Sin Fronteras / Indigenous Alliance Without Borders,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Immigration),,,,,,https://ushrnetwork.org/news/120/100/Indigenous-Alliance-Without-Borders-Releases-Handbook-on-Indigenous-Peoples-Border-Crossing-Rights
12,afgj,Alliance for Global Justice,p_amigos_de_la_playa,Amigos de la Playa,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Environmental),,,,,,https://www.facebook.com/AmigosDeLaPlayaOmetepe#
13,afgj,Alliance for Global Justice,p_arizona_educators_united,Arizona Educators United,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Education),,,,,,https://psuaaup.net/blog/entry/inspired-by-west-virginia-teachers-spread-red-for-ed-movement-across-arizona
14,afgj,Alliance for Global Justice,p_arizona_palestine_solidarity_alliance,Arizona Palestine Solidarity Alliance,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Collective),,,,,,https://www.arizonapalestine.org/about.html
15,afgj,Alliance for Global Justice,p_asotrecol,ASOTRECOL,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Union),,,,,,https://www.dol.gov/newsroom/releases/ilab/ilab20120824
16,afgj,Alliance for Global Justice,p_assata_s_daughters,Assata’s Daughters,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Training),,,,,,https://www.assatasdaughters.org/homie
17,afgj,Alliance for Global Justice,p_az_jobs_with_justice,AZ Jobs with Justice,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Union),,,,,,https://www.jwj.org/
18,afgj,Alliance for Global Justice,p_beef_relief,Beef Relief,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Food Bank),,,,,,http://beefrelief.org/
19,afgj,Alliance for Global Justice,p_black_and_pink_ma,Black and Pink MA,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Activism),,,,,,https://www.influencewatch.org/organization/black-and-pink-ma/
20,afgj,Alliance for Global Justice,p_black_lives_matter_oklahoma_city,Black Lives Matter-Oklahoma City,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Activism),,,,,,https://www.blmokc.com/
21,afgj,Alliance for Global Justice,p_black_lives_matter_tucson,Black Lives Matter Tucson,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
22,afgj,Alliance for Global Justice,p_black_movement_law_project,Black Movement Law Project,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Legal),,,,,,https://www.influencewatch.org/organization/black-movement-law-project/
23,afgj,Alliance for Global Justice,p_black_trans_media,Black Trans Media,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Art),,,,,,https://www.influencewatch.org/non-profit/black-trans-media/
24,afgj,Alliance for Global Justice,p_black_trans_travel_fund,Black Trans Travel Fund,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Travel),,,,,,https://www.blacktranstravelfund.com/
25,afgj,Alliance for Global Justice,p_bukit_bail_fund_of_pittsburgh,Bukit Bail Fund of Pittsburgh,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Bail),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
26,afgj,Alliance for Global Justice,p_bv_solidarity_project,BV Solidarity Project,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
27,afgj,Alliance for Global Justice,p_camino_com_n,Camino Común,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor,,,,,,https://afgj.org/a-visit-inside-colombias-most-notorious-prison-la-tramacua
28,afgj,Alliance for Global Justice,p_central_ohio_freedom_fund,Central Ohio Freedom Fund,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Bail),,,,,,https://www.facebook.com/COFF614/
29,afgj,Alliance for Global Justice,p_centro_de_derechos_humanos_del_pac_fic,Centro de Derechos Humanos del Pacífico (Centro Pazífico),fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor,,,,,,https://afgj.org/death-squad-threatens-wayuu-womens-force-in-la-guajira-colombia
30,afgj,Alliance for Global Justice,p_centro_solidario_de_puerto_rico,Centro Solidario de Puerto Rico,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Collective),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
31,afgj,Alliance for Global Justice,p_change_links_newspaper,Change-Links Newspaper,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Media),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
32,afgj,Alliance for Global Justice,p_chicago_housing_initiative,Chicago Housing Initiative,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Housing),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
33,afgj,Alliance for Global Justice,p_chicago_housing_justice_league,Chicago Housing Justice League,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Housing),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
34,afgj,Alliance for Global Justice,p_chico_mendes_reforestation_project,Chico Mendes Reforestation Project,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Environmental),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
35,afgj,Alliance for Global Justice,p_cindy_sheehan_s_soapbox,Cindy Sheehan’s Soapbox,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Media/Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
36,afgj,Alliance for Global Justice,p_clean_up_the_mines,Clean up the Mines,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Environmental),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
37,afgj,Alliance for Global Justice,p_coalition_of_women_for_peace,Coalition of Women for Peace,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Peace/Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
38,afgj,Alliance for Global Justice,p_colorado_freedom_fund,Colorado Freedom Fund,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Bail),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
39,afgj,Alliance for Global Justice,p_community_action_relief_project,Community Action Relief Project,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Mutual Aid),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
40,afgj,Alliance for Global Justice,p_corporate_genome_project,Corporate Genome Project,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Research),,,,,,https://www.corporategenomeproject.org/
41,afgj,Alliance for Global Justice,p_creating_a_more_beloved_community_film,Creating a More Beloved Community Film & Discussion Series,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Education/Media),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
42,afgj,Alliance for Global Justice,p_denver_justice_project,Denver Justice Project,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Criminal Justice),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
43,afgj,Alliance for Global Justice,p_erie_bail_fund,Erie Bail Fund,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Bail),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
44,afgj,Alliance for Global Justice,p_eritye_papa_desalin,Eritye Papa Desalin,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
