id,label,kind,layer,country,ein,magnitude,flow_edges_out,given_usd_headline_sum,given_fmt,flow_edges_in,received_usd_headline_sum,received_fmt,notes_excerpt
rub_black_lives_matter_global,Black Lives Matter Global Network Foundation,org,context,,,82.9,2,,,1,69200000.0,$69.20M,"us_501c3_active; report §V-VI.  [TIER B — context-only, NEVER in a Cuba total]"
rub_thousand_currents,Thousand Currents,org,context,,,67.5,1,69200000.0,$69.20M,0,,,"us_501c3_active; report §V-VI.  [TIER B — context-only, NEVER in a Cuba total]"
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",org,money,,84-1618483,40.0,5,3238050.0,$3.24M,3,35663060.0,$35.66M,EIN 84-1618483; Miami private foundation; funds CODEPINK and AFGJ
jef,Justice and Education Fund (JEF),org,money,,82-4975378,18.0,4,20370591.0,$20.37M,1,5370000.0,$5.37M,"Singham/PSF downstream grantmaking vehicle. Parallel-funds AoJ's grantees CODEPINK ($360,591, 2021-2022) and AFGJ ($10,000, 2022), independent of AoJ's own gran"
alvin_benjamin,Alvin Benjamin (1920-2012),person,money,,,34.0,1,23800000.0,$23.80M,0,,,"Real estate developer, founder/president of The Benjamin Companies ($2B+ combined development). Medea Benjamin's father. Estate contributed $23,803,450 to Arc o"
pf,The People's Forum,org,money,US,61-1844780,31.6,2,,,3,23015000.0,$23.02M,320 W 37th St NYC; live donate-page payee for Hatuey || Singham-funded NYC hub; IPA North America anchor || Singham-funded NYC hub; feeds DSA adjacently via a s
rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),org,center,US,45-3658022,19.0,3,118.0,$118,1,19100000.0,$19.10M,US 501(c)(3); 275 Madison Ave NYC; 100% funded by RLS Berlin; ~$19.1M cumulative 2012-2025; staffed & funded DSA training
rls_berlin,Rosa-Luxemburg-Stiftung e.V. (Berlin),org,state,Germany,,71.0,1,19100000.0,$19.10M,1,,,"Die Linke's party foundation; EUR 71.2M (2024), ~95% German-government-funded; parent that controls all RLS-NYC money"
rose_benjamin,Rose Benjamin,person,money,,,24.0,1,10863060.0,$10.86M,0,,,"Alvin Benjamin's first wife, Medea Benjamin's mother. Estate contributed $10,863,060 to the Benjamin Fund in FY2010 (990-PF Sched B) -- a distinct, smaller sum "
psf,People's Support Foundation (PSF),org,money,,82-1202926,22.0,2,5370000.0,$5.37M,0,,,"Neville Roy Singham vehicle; Jodie Evans, President. $111.6M assets (FY2024). Funds JEF, People's Welfare Association, and People's Forum -- structurally parall"
ucf,United Community Fund,org,money,,37-1913339,,1,3015000.0,$3.02M,1,,,
grassroots_intl,Grassroots International,org,money,,04-2791159,28.0,0,,,1,1460000.0,$1.46M,"Boston-based re-granter; confirmed Arc of Justice (Medea Benjamin's foundation, funds CODEPINK/AFGJ) grantee with at least $750K documented ($250K in 2020, $500"
benjamin,Medea Benjamin,person,context,,,30.0,1,1000000.0,$1.00M,0,,,CODEPINK co-founder; president/Treasurer of Arc of Justice (fka Benjamin Fund) || Co-founder; org(s): Code Pink; §VII || Co-founder; Potential unregistered fore
social_good_fund,Social Good Fund,org,money,,46-1323531,24.0,0,,,1,855000.0,$855K,"CA fiscal sponsor/DAF operator, 100+ sponsored projects. $855K cumulative from AoJ FY2018-2022 (990-PF Sched I). Ultimate project recipient of AoJ's money not n"
global_exchange,Global Exchange,org,money,,94-3066686,24.0,0,,,1,405000.0,$405K,"Co-founded 1988 by Benjamin, Danaher, Irgens-Moller. AoJ's largest grantee pre-2015 era ($60K-$405K/yr) while Irgens-Moller simultaneously ran GE and administer"
ccr,Center for Constitutional Rights,org,money,,,18.0,0,,,1,400000.0,$400K,"Received $400,000 from AoJ ($200,000 FY2020 + $200,000 FY2022) per 990-PF Schedule I, verified against grants.duckdb pf_grants (filer_ein 841618483). CCR's own "
codepink,CODEPINK,org,context,US,26-2823386,32.0,0,,,1,360591.0,$361K,US antiwar org co-founded by Benjamin; led multiple Iran delegations || Women-for-Peace; IPA member; VZ solidarity brigades (2023/2026) || us_501c3_active; repo
afgj,Alliance for Global Justice,org,center,US,86-0736784,25.0,122,,,2,128050.0,$128K,Fiscal sponsor of ~122 left projects; successor to Nicaragua Network || Stale banner copy only; no named 990 line || Tucson-based fiscal sponsor umbrella (~130 
rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,org,money,,,25.0,3,11068.0,$11K,0,,,us_501c3_active; report §V-VI. NNOC member; runs the Pastors for Peace 'Friendshipment' caravans to Cuba via ICAP; sole US administrator of Cuba's ELAM
rub_claudia_jones_school,Claudia Jones School,org,money,,,,0,,,1,11068.0,$11K,"us_fiscally_sponsored — fiscal host is Open Collective Foundation, a 501(c)(3) (per org's own Open Collective account); report §VII."
