a,a_label,b,b_label,shared_events,events
answer,ANSWER Coalition,bap,Black Alliance for Peace,2,AFGJ Intl Delegation to Nicar…; Venezuela Presidential Electi…
afgj,Alliance for Global Justice,answer,ANSWER Coalition,2,AFGJ Intl Delegation to Nicar…; Venezuela Presidential Electi…
afgj,Alliance for Global Justice,bap,Black Alliance for Peace,2,AFGJ Intl Delegation to Nicar…; Venezuela Presidential Electi…
ipa,International Peoples' Assembly,maduro,Nicolás Maduro,2,International Anti-Fascist Fe…; IPA Founding Assembly (Caraca…
clarkgollub,Jill Clark-Gollub,psl,Party for Socialism & Liberation,2,International Anti-Fascist Fe…; Venezuela Presidential Electi…
clarkgollub,Jill Clark-Gollub,harris,Roger D. Harris,2,International Anti-Fascist Fe…; Venezuela Presidential Electi…
clarkgollub,Jill Clark-Gollub,tfa,Task Force on the Americas,2,International Anti-Fascist Fe…; Venezuela Presidential Electi…
clarkgollub,Jill Clark-Gollub,uspc,US Peace Council,2,International Anti-Fascist Fe…; Venezuela Presidential Electi…
psl,Party for Socialism & Liberation,tfa,Task Force on the Americas,2,International Anti-Fascist Fe…; Venezuela Presidential Electi…
psl,Party for Socialism & Liberation,uspc,US Peace Council,2,International Anti-Fascist Fe…; Venezuela Presidential Electi…
harris,Roger D. Harris,psl,Party for Socialism & Liberation,2,International Anti-Fascist Fe…; Venezuela Presidential Electi…
harris,Roger D. Harris,tfa,Task Force on the Americas,2,International Anti-Fascist Fe…; Venezuela Presidential Electi…
harris,Roger D. Harris,uspc,US Peace Council,2,International Anti-Fascist Fe…; Venezuela Presidential Electi…
tfa,Task Force on the Americas,uspc,US Peace Council,2,International Anti-Fascist Fe…; Venezuela Presidential Electi…
answer,ANSWER Coalition,codepink,CODEPINK,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,dsa,Democratic Socialists of America,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,clarkgollub,Jill Clark-Gollub,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,delossantos,Manolo de los Santos,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,nunez,Marlon Matthew Nunez,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,nlg,National Lawyers Guild,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,nicanet,Nicaragua Network,1,AFGJ Intl Delegation to Nicar…
answer,ANSWER Coalition,psl,Party for Socialism & Liberation,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,harris,Roger D. Harris,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,kuang,Savannah Kuang,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,tfa,Task Force on the Americas,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,pf,The People's Forum,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,uspc,US Peace Council,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,vsn,Venezuela Solidarity Network,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,camacaro,William Camacaro,1,Venezuela Presidential Electi…
answer,ANSWER Coalition,souers,Wyatt Souers,1,Venezuela Presidential Electi…
afgj,Alliance for Global Justice,codepink,CODEPINK,1,Venezuela Presidential Electi…
afgj,Alliance for Global Justice,ortega,Daniel Ortega,1,Nicaragua General Election (N…
afgj,Alliance for Global Justice,dsa,Democratic Socialists of America,1,Venezuela Presidential Electi…
afgj,Alliance for Global Justice,clarkgollub,Jill Clark-Gollub,1,Venezuela Presidential Electi…
afgj,Alliance for Global Justice,delossantos,Manolo de los Santos,1,Venezuela Presidential Electi…
afgj,Alliance for Global Justice,nunez,Marlon Matthew Nunez,1,Venezuela Presidential Electi…
afgj,Alliance for Global Justice,nlg,National Lawyers Guild,1,Venezuela Presidential Electi…
