org_a,org_a_label,org_b,org_b_label,shared_people,people
answer,ANSWER Coalition,btm,BreakThrough News,3,Ben Becker; Brian Becker; Eugene Puryear
answer,ANSWER Coalition,psl,Party for Socialism & Liberation,3,Brian Becker; Eugene Puryear; Richard Becker
codepink,CODEPINK,pf,The People's Forum,3,Claudia De la Cruz; Jodie Evans; Neville Roy Singham
afgj,Alliance for Global Justice,nicanet,Nicaragua Network,2,Katherine Hoyt; Chuck Kaufman
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",global_exchange,Global Exchange,2,Medea Benjamin; Kirsten Irgens-Moller
btm,BreakThrough News,psl,Party for Socialism & Liberation,2,Brian Becker; Eugene Puryear
btm,BreakThrough News,pf,The People's Forum,2,Brian Becker; Claudia De la Cruz
dsa,Democratic Socialists of America,rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),2,Heidi Chua; Ethan Earle
jef,Justice and Education Fund (JEF),pf,The People's Forum,2,David Sung Mo Chung; Claudia De la Cruz
p_kevin_zeese_emerging_activists_fund,Kevin Zeese Emerging Activists Fund,p_popular_resistance,Popular Resistance,2,Kevin Zeese; Margaret Flowers
p_refuse_fascism,Refuse Fascism,p_stop_mass_incarceration_network,Stop Mass Incarceration Network,2,Carl Dix; Cornel West
p_taking_black_pride,Taking Black Pride,p_trans_women_of_color_solidarity_networ,Trans Women of Color Solidarity Network,2,Lourdez; Mattie
ev_fsp_caracas_2019,25th Foro de São Paulo (Caracas 2019),frso,Freedom Road Socialist Organization,1,Tom Burke
answer,ANSWER Coalition,ev_wfys_2005,16th World Festival of Youth & Students (Caracas 2005),1,Ben Becker
answer,ANSWER Coalition,p_honduras_solidarity_network,Honduras Solidarity Network,1,Chuck Kaufman
answer,ANSWER Coalition,nicanet,Nicaragua Network,1,Chuck Kaufman
answer,ANSWER Coalition,pf,The People's Forum,1,Brian Becker
p_adastra,AdAstra,p_movement_net_lab,Movement Net Lab,1,Allen Kwabena Frimpong
afgj,Alliance for Global Justice,answer,ANSWER Coalition,1,Chuck Kaufman
afgj,Alliance for Global Justice,p_black_movement_law_project,Black Movement Law Project,1,Nathan Sheard
afgj,Alliance for Global Justice,p_honduras_solidarity_network,Honduras Solidarity Network,1,Chuck Kaufman
afgj,Alliance for Global Justice,p_nappy_roots_books,Nappy Roots Books,1,Banbose Shango
afgj,Alliance for Global Justice,rub_national_network_on_cuba,National Network on Cuba,1,Banbose Shango
afgj,Alliance for Global Justice,vsn,Venezuela Solidarity Network,1,Banbose Shango
ev_caracas_antifa_2024,Antifascist Congress of Caracas (Nov 28 2024),venezuela,Venezuela,1,Nicolás Maduro
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",codepink,CODEPINK,1,Medea Benjamin
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",hub_green_shadow_cabinet,Green Shadow Cabinet,1,Medea Benjamin
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",rub_hamas,Hamas,1,Medea Benjamin
bap,Black Alliance for Peace,rub_black_lives_matter_global,Black Lives Matter Global Network Foundation,1,Opal Tometi
p_black_trans_media,Black Trans Media,p_black_trans_travel_fund,Black Trans Travel Fund,1,Devin Michael Lowe
btm,BreakThrough News,ev_wfys_2005,16th World Festival of Youth & Students (Caracas 2005),1,Ben Becker
btm,BreakThrough News,codepink,CODEPINK,1,Claudia De la Cruz
btm,BreakThrough News,gbi,General Baker Institute,1,Claudia De la Cruz
btm,BreakThrough News,rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,1,Claudia De la Cruz
btm,BreakThrough News,jef,Justice and Education Fund (JEF),1,Claudia De la Cruz
btm,BreakThrough News,pi,Progressive International,1,Vijay Prashad
btm,BreakThrough News,tricontinental,Tricontinental: Institute for Social Research,1,Vijay Prashad
brecht_forum,Brecht Forum,rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),1,Kazembe Balagun
codepink,CODEPINK,gbi,General Baker Institute,1,Claudia De la Cruz
codepink,CODEPINK,global_exchange,Global Exchange,1,Medea Benjamin
codepink,CODEPINK,hub_green_shadow_cabinet,Green Shadow Cabinet,1,Medea Benjamin
codepink,CODEPINK,rub_hamas,Hamas,1,Medea Benjamin
codepink,CODEPINK,rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,1,Claudia De la Cruz
codepink,CODEPINK,jef,Justice and Education Fund (JEF),1,Claudia De la Cruz
codepink,CODEPINK,psf,People's Support Foundation (PSF),1,Jodie Evans
codepink,CODEPINK,tricontinental,Tricontinental: Institute for Social Research,1,Neville Roy Singham
codepink,CODEPINK,p_united_students_against_sweatshops,United Students Against Sweatshops,1,Makayla Heiser
p_corporate_genome_project,Corporate Genome Project,p_real_food_generation,Real Food Generation,1,Samantha Parsons
dsa,Democratic Socialists of America,dsa_fund,DSA Fund,1,David Duhalde
friendsatc,Friends of the ATC,p_friends_of_asociaci_n_de_trabajadores_,Friends of Asociación de Trabajadores Campesinos,1,Erika Takeo
gbi,General Baker Institute,rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,1,Claudia De la Cruz
gbi,General Baker Institute,jef,Justice and Education Fund (JEF),1,Claudia De la Cruz
gbi,General Baker Institute,pf,The People's Forum,1,Claudia De la Cruz
global_exchange,Global Exchange,hub_green_shadow_cabinet,Green Shadow Cabinet,1,Medea Benjamin
global_exchange,Global Exchange,rub_hamas,Hamas,1,Medea Benjamin
hub_green_shadow_cabinet,Green Shadow Cabinet,rub_hamas,Hamas,1,Medea Benjamin
icap,ICAP,rub_the_wasp_network_red_avisp,The Wasp Network / Red Avispa,1,Fernando González Llort
p_interoccupy,InterOccupy,p_march_4_racial_justice,March 4 Racial Justice,1,Andrea Ciannavei
rub_international_may_day_brig,International May Day Brigade,rub_national_network_on_cuba,National Network on Cuba,1,Onyesonwu Chatoyer
rub_international_may_day_brig,International May Day Brigade,rub_venceremos_brigade,Venceremos Brigade,1,Onyesonwu Chatoyer
jef,Justice and Education Fund (JEF),rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,1,Claudia De la Cruz
jef,Justice and Education Fund (JEF),psl,Party for Socialism & Liberation,1,Karina Garcia
hub_lawyers_better_housing,Lawyers’ Committee for Better Housing,p_chicago_housing_justice_league,Chicago Housing Justice League,1,Frank Avellone
rub_may_19th_communist_organiz,May 19th Communist Organization,rub_weather_underground,Weather Underground,1,Kathy Boudin
hub_military_families_speak_out,Military Families Speak Out,p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,1,Pat Alviso
rub_naacp,NAACP,rub_republic_of_new_afrika,Republic of New Afrika,1,Robert F. Williams
p_nappy_roots_books,Nappy Roots Books,rub_national_network_on_cuba,National Network on Cuba,1,Banbose Shango
p_nappy_roots_books,Nappy Roots Books,vsn,Venezuela Solidarity Network,1,Banbose Shango
nlg,National Lawyers Guild,p_black_movement_law_project,Black Movement Law Project,1,Abraham Hassen
nlg,National Lawyers Guild,p_just_info,Just Info,1,Meghan Maurus
nlg,National Lawyers Guild,rub_students_for_a_democratic,Students for a Democratic Society,1,Bernardine Dohrn
nlg,National Lawyers Guild,rub_weather_underground,Weather Underground,1,Bernardine Dohrn
rub_national_network_on_cuba,National Network on Cuba,rub_venceremos_brigade,Venceremos Brigade,1,Onyesonwu Chatoyer
rub_national_network_on_cuba,National Network on Cuba,vsn,Venezuela Solidarity Network,1,Banbose Shango
nicanet,Nicaragua Network,p_honduras_solidarity_network,Honduras Solidarity Network,1,Chuck Kaufman
pflp,Popular Front for the Liberation of Palestine (PFLP),rub_democratic_front_for_the_l,Democratic Front for the Liberation of Palestine,1,Nayef Hawatmeh
pi,Progressive International,tricontinental,Tricontinental: Institute for Social Research,1,Vijay Prashad
p_refuse_fascism,Refuse Fascism,uts,Union Theological Seminary,1,Cornel West
p_refuse_fascism,Refuse Fascism,p_world_can_t_wait,World Can’t Wait,1,Sunsara Taylor
p_stop_mass_incarceration_network,Stop Mass Incarceration Network,uts,Union Theological Seminary,1,Cornel West
rub_students_for_a_democratic,Students for a Democratic Society,rub_weather_underground,Weather Underground,1,Bernardine Dohrn
hatuey,The Hatuey Project,psl,Party for Socialism & Liberation,1,Gloria La Riva
pf,The People's Forum,rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,1,Claudia De la Cruz
pf,The People's Forum,psl,Party for Socialism & Liberation,1,Brian Becker
pf,The People's Forum,psf,People's Support Foundation (PSF),1,Jodie Evans
pf,The People's Forum,tricontinental,Tricontinental: Institute for Social Research,1,Neville Roy Singham
