person,label,orgs_with_role,orgs_incl_membership,inferred_role_edges,role_orgs
delacruz,Claudia De la Cruz,6,7,4,BreakThrough News; CODEPINK; General Baker Institute; Justice and Education Fund (J…; The People's Forum; IFCO / Pastors for Peace
benjamin,Medea Benjamin,5,7,3,Arc of Justice (fka Benjamin …; CODEPINK; Global Exchange; Green Shadow Cabinet; Hamas
per_banbose_shango,Banbose Shango,4,4,4,Alliance for Global Justice; Nappy Roots Books; National Network on Cuba; Venezuela Solidarity Network
brian_becker,Brian Becker,4,4,1,ANSWER Coalition; BreakThrough News; The People's Forum; Party for Socialism & Liberat…
kaufman,Chuck Kaufman,4,4,1,Alliance for Global Justice; ANSWER Coalition; Nicaragua Network; Honduras Solidarity Network
evans,Jodie Evans,3,5,0,CODEPINK; The People's Forum; People's Support Foundation (…
puryear,Eugene Puryear,3,4,4,ANSWER Coalition; BreakThrough News; Party for Socialism & Liberat…
ben_becker,Ben Becker,3,3,2,ANSWER Coalition; BreakThrough News; 16th World Festival of Youth …
rub_p_bernardine_dohrn,Bernardine Dohrn,3,3,3,National Lawyers Guild; Students for a Democratic Soc…; Weather Underground
per_cornel_west,Cornel West,3,3,1,Refuse Fascism; Stop Mass Incarceration Netwo…; Union Theological Seminary
singham,Neville Roy Singham,3,3,0,CODEPINK; The People's Forum; Tricontinental: Institute for…
rub_p_onyesonwu_chatoyer,Onyesonwu Chatoyer,3,3,0,International May Day Brigade; National Network on Cuba; Venceremos Brigade
prashad,Vijay Prashad,3,3,2,BreakThrough News; Progressive International; Tricontinental: Institute for…
earle,Ethan Earle,2,3,0,Democratic Socialists of Amer…; Rosa Luxemburg Stiftung Inc (…
lariva,Gloria La Riva,2,3,0,The Hatuey Project; Party for Socialism & Liberat…
per_abraham_hassen,Abraham Hassen,2,2,1,National Lawyers Guild; Black Movement Law Project
per_allen_kwabena_frimpong,Allen Kwabena Frimpong,2,2,0,AdAstra; Movement Net Lab
per_andrea_ciannavei,Andrea Ciannavei,2,2,0,InterOccupy; March 4 Racial Justice
per_carl_dix,Carl Dix,2,2,1,Refuse Fascism; Stop Mass Incarceration Netwo…
duhalde,David Duhalde,2,2,0,Democratic Socialists of Amer…; DSA Fund
chung,David Sung Mo Chung,2,2,3,Justice and Education Fund (J…; The People's Forum
per_devin_michael_lowe,Devin Michael Lowe,2,2,1,Black Trans Media; Black Trans Travel Fund
per_erika_takeo,Erika Takeo,2,2,1,Friends of the ATC; Friends of Asociación de Trab…
rub_p_fernando_gonz_lez_llor,Fernando González Llort,2,2,0,ICAP; The Wasp Network / Red Avispa
per_frank_avellone,Frank Avellone,2,2,1,Lawyers’ Committee for Better…; Chicago Housing Justice League
chua,Heidi Chua,2,2,0,Democratic Socialists of Amer…; Rosa Luxemburg Stiftung Inc (…
garcia,Karina Garcia,2,2,1,Justice and Education Fund (J…; Party for Socialism & Liberat…
hoyt,Katherine Hoyt,2,2,2,Alliance for Global Justice; Nicaragua Network
rub_p_kathy_boudin,Kathy Boudin,2,2,2,May 19th Communist Organizati…; Weather Underground
balagun,Kazembe Balagun,2,2,0,Brecht Forum; Rosa Luxemburg Stiftung Inc (…
per_kevin_zeese,Kevin Zeese,2,2,0,Kevin Zeese Emerging Activist…; Popular Resistance
irgens_moller,Kirsten Irgens-Moller,2,2,0,Arc of Justice (fka Benjamin …; Global Exchange
per_lourdez,Lourdez,2,2,0,Taking Black Pride; Trans Women of Color Solidari…
per_makayla_heiser,Makayla Heiser,2,2,1,CODEPINK; United Students Against Sweat…
per_margaret_flowers,Margaret Flowers,2,2,0,Kevin Zeese Emerging Activist…; Popular Resistance
per_mattie,Mattie,2,2,0,Taking Black Pride; Trans Women of Color Solidari…
per_meghan_maurus,Meghan Maurus,2,2,1,National Lawyers Guild; Just Info
per_nathan_sheard,Nathan Sheard,2,2,1,Alliance for Global Justice; Black Movement Law Project
rub_p_nayef_hawatmeh,Nayef Hawatmeh,2,2,3,Popular Front for the Liberat…; Democratic Front for the Libe…
maduro,Nicolás Maduro,2,2,3,Antifascist Congress of Carac…; Venezuela
rub_p_opal_tometi,Opal Tometi,2,2,2,Black Alliance for Peace; Black Lives Matter Global Net…
per_pat_alviso,Pat Alviso,2,2,1,Military Families Speak Out; National Network Opposing the…
richard_becker,Richard Becker,2,2,0,ANSWER Coalition; Party for Socialism & Liberat…
rub_p_robert_f_williams,Robert F. Williams,2,2,2,NAACP; Republic of New Afrika
per_samantha_parsons,Samantha Parsons,2,2,0,Corporate Genome Project; Real Food Generation
per_sunsara_taylor,Sunsara Taylor,2,2,1,Refuse Fascism; World Can’t Wait
burke,Tom Burke,2,2,0,25th Foro de São Paulo (Carac…; Freedom Road Socialist Organi…
per_elisabeth_epps,Elisabeth Epps,1,3,0,Colorado Freedom Fund
harris,Roger D. Harris,1,3,0,Task Force on the Americas
chak,Tings Chak,1,3,1,Tricontinental: Institute for…
yee,Amanda Yee,1,2,0,Party for Socialism & Liberat…
gunther,Andreas Günther,1,2,0,Rosa Luxemburg Stiftung Inc (…
hub_assata_shakur,Assata Shakur,1,2,1,Black Liberation Army
sunkara,Bhaskar Sunkara,1,2,0,Jacobin
delossantos,Manolo de los Santos,1,2,0,The People's Forum
bertoldi,Manuel Bertoldi,1,2,0,International Peoples' Assemb…
taylor,Nancy Taylor,1,2,1,Tricontinental: Institute for…
nmeyer,Neal Meyer,1,2,0,Rosa Luxemburg Stiftung Inc (…
bugni,Renata Porto Bugni,1,2,1,Tricontinental: Institute for…
xiao,Sheila Xiao,1,2,0,ANSWER Coalition
liebich,Stefan Liebich,1,2,0,Rosa Luxemburg Stiftung Inc (…
rub_p_angela_davis,Angela Davis,0,2,0,
cook,Claire Cook,0,2,0,
dpaul,David Paul,0,2,0,
alhusseini,Ibrahim AlHusseini,0,2,0,
nunez,Marlon Matthew Nunez,0,2,0,
wider,Phil Wider,0,2,0,
