person,person_label,org,org_label,org_kind,relation,tier,edge_label,confidence,slices
stein,Abby Stein (JVP Rabbinical Council),jvp,Jewish Voice for Peace (JVP),org,affiliation,member,Rabbinical Council member,confirmed,iran-network
yee,Amanda Yee,btm,BreakThrough News,org,member,member,role,inferred,singham-spine
gunther,Andreas Günther,die_linke,Die Linke,org,member,member,"former Director of International Policy, Die Linke",confirmed,rls-germany
rub_p_angela_davis,Angela Davis,rub_black_panther_party,Black Panther Party,org,member,member,member,inferred,_mined
rub_p_angela_davis,Angela Davis,rub_communist_party_usa,Communist Party USA,org,member,member,member,inferred,_mined
hub_assata_shakur,Assata Shakur,rub_black_panther_party,Black Panther Party,org,member,member,member,inferred,_mined
sunkara,Bhaskar Sunkara,dsa,Democratic Socialists of America,org,member,member,most prominent media figure in DSA's ecosystem,inferred,rls-germany
baker_carolyn,Carolyn Baker,gbi,General Baker Institute,org,member,member,role,confirmed,singham-spine
caruso,Christopher Chris Caruso,pf,The People's Forum,org,member,member,role,confirmed,singham-spine
cook,Claire Cook,psl,Party for Socialism & Liberation,org,member,member,affiliation,inferred,singham-spine
cook,Claire Cook,puf,Progress Unity Fund,org,member,member,role,confirmed,singham-spine
delacruz,Claudia De la Cruz,answer,ANSWER Coalition,org,affiliation,member,via PSL overlap (ADL),inferred,_mined
delacruz,Claudia De la Cruz,pf,The People's Forum,org,member,member,role,confirmed,singham-spine
kovalik,Dan Kovalik,afgj,Alliance for Global Justice,org,affiliated,member,solidarity lawyer (photo credit on Ortega piece),inferred,latam-solidarity
dpaul,David Paul,dsa,Democratic Socialists of America,org,member,member,member,inferred,_mined
dpaul,David Paul,tfa,Task Force on the Americas,org,member,member,member,inferred,_mined
abbott,Diane Abbott,uk_labour,UK Labour Party,org,member,member,UK Labour MP,confirmed,rls-germany
maura,Eduardo Maura,podemos,Podemos,org,member,member,Podemos MP,confirmed,rls-germany
per_elisabeth_epps,Elisabeth Epps,dsa,Democratic Socialists of America,org,member,member,member,inferred,_mined
per_elisabeth_epps,Elisabeth Epps,wfp,Working Families Party,org,member,member,member,inferred,_mined
brease,Emily Brease,btm,BreakThrough News,org,member,member,role,inferred,singham-spine
earle,Ethan Earle,pel,Party of the European Left,org,member,member,Party of the European Left North America Working Group,confirmed,rls-germany
puryear,Eugene Puryear,psl,Party for Socialism & Liberation,org,member,member,member,inferred,_mined
puryear,Eugene Puryear,pf,The People's Forum,org,member,member,role,confirmed,singham-spine
ensler,Eve Ensler,codepink,CODEPINK,org,member,member,CODEPINK Advisory Board,confirmed,singham-spine
kleiner,Franziska Kleiner,ucf,United Community Fund,org,member,member,role,confirmed,singham-spine
lariva,Gloria La Riva,answer,ANSWER Coalition,org,member,member,,confirmed,hatuey
craig,Hannah Priscilla Craig,pf,The People's Forum,org,member,member,role,confirmed,singham-spine
alhusseini,Ibrahim AlHusseini,codepink,CODEPINK,org,member,member,role,confirmed,singham-spine
alhusseini,Ibrahim AlHusseini,cultureproject,Culture Project,org,member,member,role,confirmed,singham-spine
pfetcher,Jason Pfetcher,psf,People's Support Foundation (PSF),org,member,member,role,confirmed,singham-spine
clarkgollub,Jill Clark-Gollub,vsn,Venezuela Solidarity Network,org,member,member,member,inferred,_mined
evans,Jodie Evans,codepink,CODEPINK,org,member,member,role,confirmed,singham-spine
evans,Jodie Evans,ips,Institute for Policy Studies,org,member,member,role,confirmed,singham-spine
evans,Jodie Evans,ipa,International Peoples' Assembly,concept,member,member,member,inferred,_mined
evans,Jodie Evans,pf,The People's Forum,org,member,member,role,confirmed,singham-spine
reyes,Karla Reyes,btm,BreakThrough News,org,member,member,role,confirmed,singham-spine
krouth,Kristine Teresa Krouth,pwa,People's Welfare Association,org,member,member,role,confirmed,singham-spine
leila_zand,Leila Zand,codepink,CODEPINK,org,affiliation,member,Director of Citizen Diplomacy with Iran (advisory board + staff),confirmed,iran-network
rub_p_leonard_boudin,Leonard Boudin,nlg,National Lawyers Guild,org,member,member,member,inferred,_mined
delossantos,Manolo de los Santos,jef,Justice and Education Fund (JEF),org,member,member,role,confirmed,singham-spine
delossantos,Manolo de los Santos,pf,The People's Forum,org,member,member,role,confirmed,singham-spine
bertoldi,Manuel Bertoldi,albamov,ALBA Movimientos,concept,member,member,ALBA Movimientos,confirmed,latam-solidarity
fernandes,Marco Fernandes,tricontinental,Tricontinental: Institute for Social Research,org,member,member,role,confirmed,singham-spine
kramer,Marian Kramer,gbi,General Baker Institute,org,affiliation,member,affiliation,inferred,_mined
nunez,Marlon Matthew Nunez,dsa,Democratic Socialists of America,org,member,member,DSA International Committee,confirmed,latam-solidarity
nunez,Marlon Matthew Nunez,vsn,Venezuela Solidarity Network,org,member,member,Venezuela Solidarity Network,confirmed,latam-solidarity
conway,Marshall Eddie Conway,rub_black_panther_party,Black Panther Party,org,member,member,member,inferred,_mined
benjamin,Medea Benjamin,hub_green_party,Green Party,org,affiliation,member,affiliation,inferred,_mined
benjamin,Medea Benjamin,rub_students_for_a_democratic,Students for a Democratic Society,org,member,member,member,inferred,_mined
marsh,"Nadia Marsh, MD",answer,ANSWER Coalition,org,member,member,member of ANSWER (Hatuey's own copy),confirmed,hatuey
taylor,Nancy Taylor,jef,Justice and Education Fund (JEF),org,member,member,role,confirmed,singham-spine
nmeyer,Neal Meyer,dsa,Democratic Socialists of America,org,member,member,Bread & Roses caucus lead; NYC-DSA treasurer 2016-2018,confirmed,rls-germany
janequine,Olivia Goncalves Janequine,jef,Justice and Education Fund (JEF),org,member,member,role,confirmed,singham-spine
estrada,Paola Estrada,albamov,ALBA Movimientos,concept,member,member,ALBA Movimientos (Brazil),confirmed,latam-solidarity
wider,Phil Wider,jef,Justice and Education Fund (JEF),org,member,member,role,confirmed,singham-spine
wider,Phil Wider,pf,The People's Forum,org,member,member,"instructor, People's Forum",inferred,singham-spine
hu,Rachel Hu,c3misc,Affiliated 501(c)(3),org,member,member,"Host, CovertAction Bulletin/Breakthrough",confirmed,singham-spine
bugni,Renata Porto Bugni,ucf,United Community Fund,org,member,member,role,confirmed,singham-spine
theoharis,Rev. Dr. Elizabeth Armen Liz Theoharis,uts,Union Theological Seminary,org,member,member,role,confirmed,singham-spine
harris,Roger D. Harris,uspc,US Peace Council,org,member,member,executive committee,confirmed,latam-solidarity
harris,Roger D. Harris,vsn,Venezuela Solidarity Network,org,founding_member,member,founding member,confirmed,latam-solidarity
kuang,Savannah Kuang,dsa,Democratic Socialists of America,org,member,member,DSA member,confirmed,latam-solidarity
dagdelen,Sevim Dagdelen,die_linke,Die Linke,org,former_member,member,Die Linke deputy chair; left 2023 (BSW),confirmed,rls-germany
xiao,Sheila Xiao,pf,The People's Forum,org,affiliation,member,"guest instructor, People's Forum",confirmed,singham-spine
luvela,Smangele Luvela,ucf,United Community Fund,org,member,member,role,confirmed,singham-spine
liebich,Stefan Liebich,die_linke,Die Linke,org,member,member,Die Linke Bundestag 2009-2021; foreign-affairs group chair,confirmed,rls-germany
tighe_barry,Tighe Barry,codepink,CODEPINK,org,affiliation,member,Art Director,confirmed,iran-network
chak,Tings Chak,jef,Justice and Education Fund (JEF),org,member,member,role,inferred,singham-spine
