table,column,rows,blank,blank_share
nodes,label,512,0,0%
nodes,kind,512,0,0%
nodes,layer,512,0,0%
nodes,ideology,512,447,87%
nodes,magnitude,512,290,57%
nodes,ein,512,486,95%
nodes,source_url,512,112,22%
nodes,notes,512,8,2%
nodes,logo,512,493,96%
nodes,country,512,396,77%
nodes,slices,512,0,0%
edges,relation,1059,0,0%
edges,layer,1059,10,1%
edges,confidence,1059,0,0%
edges,directed,1059,0,0%
edges,label,1059,3,0%
edges,source_url,1059,0,0%
edges,slices,1059,0,0%
edges,evidence,1059,946,89%
edges,receipt,1059,989,93%
