severity,scope,id,field,detail
high,node,brease,source_url,placeholder URL: https://example.com/source-needed
high,node,bugni,source_url,placeholder URL: https://example.com/source-needed
high,node,yee,source_url,placeholder URL: https://example.com/source-needed
medium,file,datarep_nodes.csv,country,77% blank
medium,file,datarep_nodes.csv,magnitude,"mixed units: org values look like revenue in $M, person values are a 1-6 salience score; never aggregate across kinds"
medium,node,gonzales,edges,isolated node: Kate Gonzales
medium,node,hatuey,n_slices,n_slices=1 but slices lists 3
medium,node,samidoun,n_slices,n_slices=1 but slices lists 2
medium,node,santos,edges,isolated node: Lucas Tinti dos Santos
low,edge,309,label,blank label (icap -award-> seal)
low,edge,334,label,blank label (lariva -member-> answer)
low,edge,366,label,blank label (mccarthy -network-> singham)
low,file,datarep_edges.csv,directed,"mixed spellings: 'yes' 733, 'true' 175, 'no' 151"
low,file,datarep_edges.csv,relation,"naming variants: hosted (13), hosted_by (2)"
low,file,datarep_edges.csv,relation,"naming variants: co-organizer (3), co_organizer (1)"
low,file,datarep_edges.csv,relation,"naming variants: co_founder (14), cofounder (1)"
low,file,datarep_edges.csv,relation,"naming variants: co_chair (1), cochair (1)"
low,file,datarep_edges.csv,relation,"naming variants: co_sponsor (1), cosponsor (1)"
low,node,btm,source_url,no source URL
low,node,c3misc,source_url,no source URL
low,node,china,source_url,no source URL
low,node,cuba,source_url,no source URL
low,node,cultureproject,source_url,no source URL
low,node,gbi,source_url,no source URL
low,node,iran,source_url,no source URL
low,node,minsap,source_url,no source URL
low,node,p_black_lives_matter_tucson,source_url,no source URL
low,node,p_bukit_bail_fund_of_pittsburgh,source_url,no source URL
low,node,p_bv_solidarity_project,source_url,no source URL
low,node,p_centro_solidario_de_puerto_rico,source_url,no source URL
low,node,p_change_links_newspaper,source_url,no source URL
low,node,p_chicago_housing_initiative,source_url,no source URL
low,node,p_chicago_housing_justice_league,source_url,no source URL
low,node,p_chico_mendes_reforestation_project,source_url,no source URL
low,node,p_cindy_sheehan_s_soapbox,source_url,no source URL
low,node,p_clean_up_the_mines,source_url,no source URL
low,node,p_coalition_of_women_for_peace,source_url,no source URL
low,node,p_colorado_freedom_fund,source_url,no source URL
low,node,p_community_action_relief_project,source_url,no source URL
low,node,p_creating_a_more_beloved_community_film,source_url,no source URL
low,node,p_denver_justice_project,source_url,no source URL
low,node,p_erie_bail_fund,source_url,no source URL
low,node,p_eritye_papa_desalin,source_url,no source URL
low,node,p_free_mumia_abu_jamal_coalition,source_url,no source URL
low,node,p_friends_of_asociaci_n_de_trabajadores_,source_url,no source URL
low,node,p_friends_of_gente_de_i_itoi_a_c,source_url,no source URL
low,node,p_friends_of_mujeres_de_la_tierra,source_url,no source URL
low,node,p_gno_interfaith_sanctuary_coalition,source_url,no source URL
low,node,p_good_shepherd_collective,source_url,no source URL
low,node,p_hampshire_college_legal_support_fund,source_url,no source URL
low,node,p_hands_up_united,source_url,no source URL
low,node,p_honduras_solidarity_network,source_url,no source URL
low,node,p_human_rights_school,source_url,no source URL
low,node,p_initiative_for_equality,source_url,no source URL
low,node,p_instituto_agroecol_gico_latinoamerican,source_url,no source URL
low,node,p_international_indigenous_initiative_fo,source_url,no source URL
low,node,p_international_journal_of_foreign_langu,source_url,no source URL
low,node,p_interoccupy,source_url,no source URL
low,node,p_irish_diaspora_decolonization_alliance,source_url,no source URL
low,node,p_just_info,source_url,no source URL
low,node,p_justice_for_all_coalition,source_url,no source URL
low,node,p_juthour_arboretum,source_url,no source URL
low,node,p_kevin_zeese_emerging_activists_fund,source_url,no source URL
low,node,p_kindred_connections,source_url,no source URL
low,node,p_la_colectiva,source_url,no source URL
low,node,p_labor_against_racism_and_war,source_url,no source URL
low,node,p_lancaster_bail_fund,source_url,no source URL
low,node,p_legal_defense_for_palestine,source_url,no source URL
low,node,p_lgbt_freedom_and_asylum_network,source_url,no source URL
