slice,domain,citations,share_within_slice
_mined,en.wikipedia.org,153,39.6%
_mined,influencewatch.org,51,13.2%
_mined,projects.propublica.org,14,3.6%
_mined,afgj.org,12,3.1%
_mined,answercoalition.org,11,2.8%
_mined,adl.org,10,2.6%
_mined,globalsecurity.org,8,2.1%
_mined,peoplesforum.org,7,1.8%
_mined,foxnews.com,7,1.8%
_mined,codepink.org,6,1.6%
_mined,hatueyproject.org,5,1.3%
_mined,nnoc.org,4,1.0%
_mined,venezuelasolidaritynetwork.org,4,1.0%
_mined,popularresistance.org,4,1.0%
_mined,tucsonspotlight.org,3,0.8%
_mined,orinocotribune.com,3,0.8%
_mined,discoverthenetworks.org,3,0.8%
_mined,consortiumnews.com,3,0.8%
_mined,ngo-monitor.org,3,0.8%
_mined,lcbh.org,3,0.8%
_mined,cubasi.cu,2,0.5%
_mined,nbcnews.com,2,0.5%
_mined,guidestar.org,2,0.5%
_mined,yahoo.com,2,0.5%
_mined,taskforceamericas.org,2,0.5%
_mined,revcom.us,2,0.5%
_mined,fightbacknews.org,2,0.5%
_mined,globalexchange.org,2,0.5%
_mined,thedailybeast.com,2,0.5%
_mined,elisabethepps.com,2,0.5%
_mined,newlinesmag.com,2,0.5%
_mined,cindysheehanssoapbox.blogspot.com,2,0.5%
_mined,colorlines.com,1,0.3%
_mined,waysandmeans.house.gov,1,0.3%
_mined,simple.wikipedia.org,1,0.3%
_mined,x.com,1,0.3%
_mined,instrumentl.com,1,0.3%
_mined,arizonapalestine.org,1,0.3%
_mined,ballotpedia.org,1,0.3%
_mined,dickinsonlaw.psu.edu,1,0.3%
_mined,trtworld.com,1,0.3%
_mined,iacenter.org,1,0.3%
_mined,peaceandfreedom.us,1,0.3%
_mined,radiohc.cu,1,0.3%
_mined,immigrantsolidarity.org,1,0.3%
_mined,breakingthechainsmag.org,1,0.3%
_mined,peoplessupportfoundation.org,1,0.3%
_mined,samidoun.net,1,0.3%
_mined,blacktranstravelfund.com,1,0.3%
_mined,hondurassolidarity.org,1,0.3%
_mined,liberationschool.org,1,0.3%
_mined,internacionalantifascista.org,1,0.3%
_mined,nodal.am,1,0.3%
_mined,pbs.org,1,0.3%
_mined,progressive.international,1,0.3%
_mined,breakthroughnews.org,1,0.3%
_mined,assinvpopactcom.org,1,0.3%
_mined,vb4cuba.com,1,0.3%
_mined,therealnews.com,1,0.3%
_mined,sanctionstribunal.org,1,0.3%
_mined,canadiannetworkoncuba.ca,1,0.3%
_mined,thejerichomovement.com,1,0.3%
_mined,persuasion.community,1,0.3%
_mined,thetricontinental.org,1,0.3%
_mined,rosalux.nyc,1,0.3%
_mined,counterpunch.org,1,0.3%
_mined,nacle.com,1,0.3%
_mined,archive.thinkprogress.org,1,0.3%
_mined,kunstlerlaw.net,1,0.3%
_mined,okgazette.com,1,0.3%
_mined,fgbrdkuba.de,1,0.3%
_mined,economichumanrights.org,1,0.3%
_mined,sputnikglobe.com,1,0.3%
_mined,home.treasury.gov,1,0.3%
_mined,gp.org,1,0.3%
_mined,sanctionssearch.ofac.treas.gov,1,0.3%
_mined,nnomy.org,1,0.3%
_mined,nejatngo.org,1,0.3%
_mined,banks.senate.gov,1,0.3%
_mined,democracynow.org,1,0.3%
afgj-projects,influencewatch.org,139,44.8%
afgj-projects,web.archive.org,119,38.4%
afgj-projects,afgj.org,8,2.6%
afgj-projects,afgj.salsalabs.org,4,1.3%
afgj-projects,facebook.com,3,1.0%
afgj-projects,assatasdaughters.org,2,0.6%
afgj-projects,keywiki.org,2,0.6%
afgj-projects,popularresistance.org,2,0.6%
afgj-projects,orinocotribune.com,2,0.6%
afgj-projects,en.wikipedia.org,2,0.6%
afgj-projects,411collective.com,1,0.3%
afgj-projects,adastra.management,1,0.3%
afgj-projects,ushrnetwork.org,1,0.3%
afgj-projects,psuaaup.net,1,0.3%
afgj-projects,arizonapalestine.org,1,0.3%
afgj-projects,dol.gov,1,0.3%
afgj-projects,automotiveworkers.org,1,0.3%
afgj-projects,truthout.org,1,0.3%
afgj-projects,wbez.org,1,0.3%
afgj-projects,jwj.org,1,0.3%
afgj-projects,beefrelief.org,1,0.3%
afgj-projects,blmokc.com,1,0.3%
afgj-projects,blacktranstravelfund.com,1,0.3%
afgj-projects,iacenter.org,1,0.3%
afgj-projects,foxnews.com,1,0.3%
afgj-projects,nbcnews.com,1,0.3%
afgj-projects,ngo-monitor.org,1,0.3%
afgj-projects,corporategenomeproject.org,1,0.3%
afgj-projects,hondurassolidarity.org,1,0.3%
afgj-projects,againstthecurrent.org,1,0.3%
afgj-projects,ialamesoamerica.wordpress.com,1,0.3%
afgj-projects,sanctionstribunal.org,1,0.3%
afgj-projects,samidoun.net,1,0.3%
afgj-projects,answercoalition.org,1,0.3%
afgj-projects,immigrantsolidarity.org,1,0.3%
afgj-projects,defendembassyprotectors.org,1,0.3%
afgj-projects,discoverthenetworks.org,1,0.3%
afgj-interlock,influencewatch.org,71,24.3%
afgj-interlock,web.archive.org,46,15.8%
afgj-interlock,hatueyproject.org,15,5.1%
afgj-interlock,tucsonspotlight.org,8,2.7%
afgj-interlock,southbronxunite.org,6,2.1%
afgj-interlock,en.wikipedia.org,5,1.7%
afgj-interlock,revcom.us,5,1.7%
afgj-interlock,youthvsapocalypse.org,5,1.7%
afgj-interlock,nnomy.org,5,1.7%
afgj-interlock,adastra.management,4,1.4%
afgj-interlock,orinocotribune.com,4,1.4%
afgj-interlock,gp.org,4,1.4%
afgj-interlock,worldfellowship.org,4,1.4%
afgj-interlock,berklee.edu,4,1.4%
afgj-interlock,corporategenomeproject.org,3,1.0%
afgj-interlock,commonslibrary.org,3,1.0%
afgj-interlock,bustle.com,3,1.0%
afgj-interlock,economichumanrights.org,3,1.0%
afgj-interlock,findingaids.library.nyu.edu,3,1.0%
afgj-interlock,veteransforpeace.org,3,1.0%
afgj-interlock,nateforcongress.com,3,1.0%
afgj-interlock,colorlines.com,3,1.0%
afgj-interlock,assatasdaughters.org,2,0.7%
afgj-interlock,blacktranstravelfund.com,2,0.7%
afgj-interlock,popularresistance.org,2,0.7%
afgj-interlock,discoverthenetworks.org,2,0.7%
afgj-interlock,commondreams.org,2,0.7%
afgj-interlock,brownmanrunning.com,2,0.7%
afgj-interlock,refusefascism.org,2,0.7%
afgj-interlock,cindysheehanssoapbox.blogspot.com,2,0.7%
afgj-interlock,worldcantwait.org,2,0.7%
afgj-interlock,sites.middlebury.edu,2,0.7%
afgj-interlock,lcbh.org,2,0.7%
afgj-interlock,prcsd.org,2,0.7%
afgj-interlock,afsc.org,2,0.7%
afgj-interlock,bates.edu,2,0.7%
afgj-interlock,artisttrust.org,2,0.7%
afgj-interlock,sgn.org,2,0.7%
afgj-interlock,chicagohousinginitiative.org,2,0.7%
afgj-interlock,worldpeacefoundation.org,2,0.7%
afgj-interlock,laprogressive.com,2,0.7%
afgj-interlock,ferguson-legal-47f1.squarespace.com,2,0.7%
afgj-interlock,citybureau.org,2,0.7%
afgj-interlock,justice.gov,2,0.7%
afgj-interlock,archive.thinkprogress.org,2,0.7%
afgj-interlock,borderlinks.org,2,0.7%
afgj-interlock,thetriibe.com,2,0.7%
afgj-interlock,ushrnetwork.org,1,0.3%
afgj-interlock,arizonapalestine.org,1,0.3%
afgj-interlock,wbez.org,1,0.3%
afgj-interlock,blmokc.com,1,0.3%
afgj-interlock,nbcnews.com,1,0.3%
afgj-interlock,afgj.salsalabs.org,1,0.3%
afgj-interlock,ngo-monitor.org,1,0.3%
afgj-interlock,ialamesoamerica.wordpress.com,1,0.3%
afgj-interlock,afgj.org,1,0.3%
afgj-interlock,keywiki.org,1,0.3%
afgj-interlock,defendembassyprotectors.org,1,0.3%
afgj-interlock,dickinsonlaw.psu.edu,1,0.3%
afgj-interlock,okgazette.com,1,0.3%
afgj-interlock,change-links.org,1,0.3%
afgj-interlock,haury.arizona.edu,1,0.3%
afgj-interlock,elisabethepps.com,1,0.3%
afgj-interlock,queertheland.org,1,0.3%
afgj-interlock,specialtyfood.com,1,0.3%
afgj-interlock,johnniejae.com,1,0.3%
afgj-interlock,tempestmag.org,1,0.3%
afgj-interlock,centerforthehumanities.org,1,0.3%
afgj-interlock,kxci.org,1,0.3%
afgj-interlock,food.berkeley.edu,1,0.3%
afgj-interlock,sputnikglobe.com,1,0.3%
afgj-interlock,queerfoodfoundation.org,1,0.3%
afgj-interlock,nacle.com,1,0.3%
afgj-interlock,calstatela.edu,1,0.3%
afgj-interlock,azpalnetwork.com,1,0.3%
afgj-interlock,lpr.com,1,0.3%
afgj-interlock,kunstlerlaw.net,1,0.3%
afgj-interlock,launchherawards.weareupspring.com,1,0.3%
afgj-interlock,firstalert4.com,1,0.3%
rubio-cuba,state.gov,59,47.6%
rubio-cuba,en.wikipedia.org,32,25.8%
rubio-cuba,nnoc.org,12,9.7%
rubio-cuba,plenglish.com,5,4.0%
rubio-cuba,hoodcommunist.org,3,2.4%
rubio-cuba,foxnews.com,2,1.6%
rubio-cuba,vb4cuba.com,2,1.6%
rubio-cuba,peoplesforum.org,1,0.8%
rubio-cuba,thetricontinental.org,1,0.8%
rubio-cuba,kenklippenstein.com,1,0.8%
rubio-cuba,claudiajonesschool.org,1,0.8%
rubio-cuba,thejerichomovement.com,1,0.8%
rubio-cuba,thousandcurrents.org,1,0.8%
rubio-cuba,cbsnews.com,1,0.8%
rubio-cuba,nlginternational.org,1,0.8%
rubio-cuba,blog.charitywatch.org,1,0.8%
singham-spine,projects.propublica.org,32,29.1%
singham-spine,en.wikipedia.org,12,10.9%
singham-spine,peoplesforum.org,6,5.5%
singham-spine,linkedin.com,6,5.5%
singham-spine,facebook.com,5,4.5%
singham-spine,waysandmeans.house.gov,5,4.5%
singham-spine,influencewatch.org,4,3.6%
singham-spine,newlinesmag.com,4,3.6%
singham-spine,yahoo.com,3,2.7%
