domain,citations,share
en.wikipedia.org,237,17.3%
influencewatch.org,218,15.9%
web.archive.org,123,9.0%
projects.propublica.org,73,5.3%
state.gov,59,4.3%
afgj.org,42,3.1%
hatueyproject.org,35,2.6%
peoplesforum.org,25,1.8%
adl.org,24,1.7%
rosalux.nyc,20,1.5%
codepink.org,18,1.3%
nnoc.org,16,1.2%
answercoalition.org,14,1.0%
keywiki.org,12,0.9%
foxnews.com,11,0.8%
venezuelasolidaritynetwork.org,10,0.7%
globalsecurity.org,9,0.7%
facebook.com,8,0.6%
orinocotribune.com,8,0.6%
waysandmeans.house.gov,8,0.6%
tucsonspotlight.org,8,0.6%
networkcontagion.us,7,0.5%
fightbacknews.org,7,0.5%
revcom.us,7,0.5%
popularresistance.org,6,0.4%
discoverthenetworks.org,6,0.4%
newlinesmag.com,6,0.4%
linkedin.com,6,0.4%
southbronxunite.org,6,0.4%
nnomy.org,6,0.4%
plenglish.com,6,0.4%
democracynow.org,5,0.4%
breakthroughnews.org,5,0.4%
yahoo.com,5,0.4%
youthvsapocalypse.org,5,0.4%
lcbh.org,5,0.4%
gp.org,5,0.4%
radiohc.cu,4,0.3%
afgj.salsalabs.org,4,0.3%
adastra.management,4,0.3%
ngo-monitor.org,4,0.3%
progressive.international,4,0.3%
liberationnews.org,4,0.3%
persuasion.community,4,0.3%
icssmarx.org,4,0.3%
economichumanrights.org,4,0.3%
cindysheehanssoapbox.blogspot.com,4,0.3%
worldfellowship.org,4,0.3%
berklee.edu,4,0.3%
consortiumnews.com,4,0.3%
liberationschool.org,4,0.3%
blacktranstravelfund.com,3,0.2%
iacenter.org,3,0.2%
nbcnews.com,3,0.2%
corporategenomeproject.org,3,0.2%
samidoun.net,3,0.2%
trtworld.com,3,0.2%
grantmakers.io,3,0.2%
ballotpedia.org,3,0.2%
counterpunch.org,3,0.2%
ethanearle.info,3,0.2%
taskforceamericas.org,3,0.2%
cubasi.cu,3,0.2%
home.treasury.gov,3,0.2%
commonslibrary.org,3,0.2%
bustle.com,3,0.2%
findingaids.library.nyu.edu,3,0.2%
veteransforpeace.org,3,0.2%
elisabethepps.com,3,0.2%
nateforcongress.com,3,0.2%
colorlines.com,3,0.2%
archive.thinkprogress.org,3,0.2%
thetricontinental.org,3,0.2%
vb4cuba.com,3,0.2%
hoodcommunist.org,3,0.2%
nodal.am,3,0.2%
globalexchange.org,3,0.2%
arizonapalestine.org,2,0.1%
assatasdaughters.org,2,0.1%
hondurassolidarity.org,2,0.1%
sanctionstribunal.org,2,0.1%
immigrantsolidarity.org,2,0.1%
imdb.com,2,0.1%
nejatngo.org,2,0.1%
codepinkdc.blogspot.com,2,0.1%
memri.org,2,0.1%
btcpolicy.org,2,0.1%
tsinghua.academia.edu,2,0.1%
peaceandfreedom.us,2,0.1%
therealnews.com,2,0.1%
banks.senate.gov,2,0.1%
ussearch.com,2,0.1%
capitalresearch.org,2,0.1%
internacionalantifascista.org,2,0.1%
rosalux.de,2,0.1%
cotton.senate.gov,2,0.1%
nlginternational.org,2,0.1%
pbs.org,2,0.1%
dickinsonlaw.psu.edu,2,0.1%
commondreams.org,2,0.1%
brownmanrunning.com,2,0.1%
okgazette.com,2,0.1%
refusefascism.org,2,0.1%
worldcantwait.org,2,0.1%
sites.middlebury.edu,2,0.1%
prcsd.org,2,0.1%
afsc.org,2,0.1%
bates.edu,2,0.1%
artisttrust.org,2,0.1%
sgn.org,2,0.1%
sputnikglobe.com,2,0.1%
chicagohousinginitiative.org,2,0.1%
nacle.com,2,0.1%
worldpeacefoundation.org,2,0.1%
laprogressive.com,2,0.1%
ferguson-legal-47f1.squarespace.com,2,0.1%
citybureau.org,2,0.1%
kunstlerlaw.net,2,0.1%
justice.gov,2,0.1%
borderlinks.org,2,0.1%
thetriibe.com,2,0.1%
peoplessupportfoundation.org,2,0.1%
x.com,2,0.1%
thejerichomovement.com,2,0.1%
guidestar.org,2,0.1%
thedailybeast.com,2,0.1%
afrocubaweb.com,2,0.1%
411collective.com,1,0.1%
ushrnetwork.org,1,0.1%
psuaaup.net,1,0.1%
dol.gov,1,0.1%
automotiveworkers.org,1,0.1%
truthout.org,1,0.1%
wbez.org,1,0.1%
jwj.org,1,0.1%
beefrelief.org,1,0.1%
blmokc.com,1,0.1%
againstthecurrent.org,1,0.1%
ialamesoamerica.wordpress.com,1,0.1%
defendembassyprotectors.org,1,0.1%
afcfp.org,1,0.1%
jis.gov.jm,1,0.1%
universityofthepoor.org,1,0.1%
housingjusticeoralhistory.org,1,0.1%
tag24.com,1,0.1%
democracyatwork.info,1,0.1%
jpost.com,1,0.1%
medium.com,1,0.1%
law.justia.com,1,0.1%
international.dsausa.org,1,0.1%
danlabotz.medium.com,1,0.1%
salon.com,1,0.1%
city-data.com,1,0.1%
valdaiclub.com,1,0.1%
forodesaopaulo.org,1,0.1%
osw.waw.pl,1,0.1%
news.mit.edu,1,0.1%
cubainformacion.tv,1,0.1%
peoplesdispatch.org,1,0.1%
cnn.com,1,0.1%
change-links.org,1,0.1%
haury.arizona.edu,1,0.1%
queertheland.org,1,0.1%
specialtyfood.com,1,0.1%
johnniejae.com,1,0.1%
tempestmag.org,1,0.1%
centerforthehumanities.org,1,0.1%
kxci.org,1,0.1%
food.berkeley.edu,1,0.1%
queerfoodfoundation.org,1,0.1%
calstatela.edu,1,0.1%
azpalnetwork.com,1,0.1%
lpr.com,1,0.1%
launchherawards.weareupspring.com,1,0.1%
firstalert4.com,1,0.1%
wikidata.org,1,0.1%
missionlocal.org,1,0.1%
dsausa.org,1,0.1%
kenklippenstein.com,1,0.1%
claudiajonesschool.org,1,0.1%
thousandcurrents.org,1,0.1%
cbsnews.com,1,0.1%
blog.charitywatch.org,1,0.1%
washingtonexaminer.com,1,0.1%
jewishinsider.com,1,0.1%
confengine.com,1,0.1%
simple.wikipedia.org,1,0.1%
instrumentl.com,1,0.1%
breakingthechainsmag.org,1,0.1%
assinvpopactcom.org,1,0.1%
canadiannetworkoncuba.ca,1,0.1%
fgbrdkuba.de,1,0.1%
sanctionssearch.ofac.treas.gov,1,0.1%
indypendent.org,1,0.1%
