id,label,kind,country,out_edges,in_edges,total,top_out_relations
afgj,Alliance for Global Justice,org,US,140,12,152,fiscal_sponsor 122; co_signatory 7; endorsed 2
rubio_report,Rubio Cuba Report (State Dept.),concept,,0,46,46,
cuba,Cuba,concept,Cuba,3,37,40,affiliation 2; funds 1
pf,The People's Forum,org,US,12,28,40,hosted 3; convened_solidarity 1; fiscal_host 1
codepink,CODEPINK,org,US,20,19,39,member 3; met 3; attended_delegation 2
benjamin,Medea Benjamin,person,,25,5,30,co_founder 3; foreign_tie 2; role 2
psl,Party for Socialism & Liberation,org,US,13,17,30,attended 2; network 2; endorsed 1
answer,ANSWER Coalition,org,US,14,15,29,partners 3; affiliation 2; co_initiator 2
china,China (PRC),concept,China,0,26,26,
btm,BreakThrough News,org,,9,15,24,host 3; affiliation 1; collaborator 1
icap,ICAP,org,,3,21,24,hosted 2; award 1
rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),org,US,6,18,24,funds 2; joint_poll 1; cosponsor 1
venezuela,Venezuela,concept,Venezuela,3,20,23,hosted 1; foreign_tie 1; invited 1
dsa,Democratic Socialists of America,org,US,8,14,22,member 2; affiliation 2; endorsed 1
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),concept,Venezuela,0,20,20,
iran,Islamic Republic of Iran (state),concept,Iran,3,17,20,affiliation 2; funds 1
delacruz,Claudia De la Cruz,person,US,16,3,19,role 3; attended 2; foreign_tie 2
hatuey,The Hatuey Project,project,,8,11,19,covered_by 2; press_channel 1; donations_to 1
lariva,Gloria La Riva,person,,17,2,19,associate 6; foreign_tie 2; member 1
rub_national_network_on_cuba,National Network on Cuba,org,,3,16,19,interlock 1; cited_network 1; supports 1
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",org,,7,11,18,grant 5; related_party 1; cited_by_ncri 1
singham,Neville Roy Singham,person,,15,3,18,funds 6; role 3; foreign_tie 2
tricontinental,Tricontinental: Institute for Social Research,org,US,2,16,18,anchors 1; named_after 1
ipa,International Peoples' Assembly,concept,Venezuela,6,11,17,hosted 2; organized 1; founded_at 1
maduro,Nicolás Maduro,person,Venezuela,11,4,15,patron 2; led 1; addressed 1
brian_becker,Brian Becker,person,,12,2,14,defended 2; national_coordinator 1; parent 1
jef,Justice and Education Fund (JEF),org,,4,10,14,grant 2; funds 2
evans,Jodie Evans,person,,12,1,13,member 4; foreign_tie 2; role 2
per_kevin_zeese,Kevin Zeese,person,,8,4,12,associate 2; role 2; co-arrested 2
puryear,Eugene Puryear,person,,9,3,12,member 2; foreign_tie 1; host 1
rub_weather_underground,Weather Underground,org,,4,8,12,cited_historical 1; split_from 1; succeeded 1
delossantos,Manolo de los Santos,person,US,11,0,11,foreign_tie 2; member 2; monitored 1
global_exchange,Global Exchange,org,,6,4,10,travel 2; related_org 1; member 1
p_world_can_t_wait,World Can’t Wait,project,,3,7,10,supporter 2; shares_address 1
rub_hamas,Hamas,org,,2,8,10,cited_designation 1; collaborator 1
nicanet,Nicaragua Network,org,US,5,4,9,supports 2; project_of 1; organized 1
per_margaret_flowers,Margaret Flowers,person,,5,4,9,associate 2; role 2; co-arrested 1
prashad,Vijay Prashad,person,,7,2,9,role 2; council 1; contributor 1
rub_black_panther_party,Black Panther Party,org,,3,6,9,cited_historical 1; affiliation 1; associate 1
rub_venceremos_brigade,Venceremos Brigade,org,,4,5,9,interlock 1; member 1; sends_volunteers_to 1
ben_becker,Ben Becker,person,US,6,2,8,former_organizer 1; foreign_tie 1; led 1
ev_antifa_festival_2025,International Anti-Fascist Festival (Caracas Jan 9-11 2025),concept,Venezuela,0,8,8,
german_gov,German Federal Government,concept,Germany,8,0,8,funds 7; partner 1
hub_assata_shakur,Assata Shakur,person,Cuba,6,2,8,cited_context 1; role 1; exiled 1
hub_hugo_chavez,Hugo Chavez,person,Venezuela,2,6,8,role 1; president 1
hub_occupy_wall_street,Occupy Wall Street,org,,0,8,8,
nlg,National Lawyers Guild,org,US,2,6,8,observed 1; member 1
p_chicago_housing_justice_league,Chicago Housing Justice League,project,,0,8,8,
p_coalition_of_women_for_peace,Coalition of Women for Peace,project,,2,6,8,did_not_condemn 1; member 1
p_refuse_fascism,Refuse Fascism,project,,1,7,8,shares_address 1
pflp,Popular Front for the Liberation of Palestine (PFLP),org,,4,4,8,collaborator 2; cited_designation 1; member 1
rub_may_19th_communist_organiz,May 19th Communist Organization,org,,4,4,8,combination 2; cited_historical 1; formed_by 1
samidoun,Samidoun Palestinian Prisoner Solidarity Network,org,,2,6,8,designated 1; co_sponsor 1
harris,Roger D. Harris,person,US,7,0,7,interest 2; attended 1; observed 1
hub_revolutionary_communist_party_usa,"Revolutionary Communist Party, USA",org,,4,3,7,affiliation 2; founder 1; initiated 1
kaufman,Chuck Kaufman,person,US,7,0,7,founder 1; cofounder 1; leads 1
ma,"Simon Ma, MD, MPH",person,,6,1,7,associate 5; co_signatory 1
p_popular_resistance,Popular Resistance,project,,1,6,7,founder 1
per_carl_dix,Carl Dix,person,,6,1,7,associate 2; role 2; initiated 1
per_cindy_sheehan,Cindy Sheehan,person,,4,3,7,associate 2; role 1; visited 1
per_tef_poe,Tef Poe,person,,4,3,7,associate 3; role 1
richard_becker,Richard Becker,person,,6,1,7,coordinator 1; foreign_tie 1; spouse 1
rub_cuban_american_national_fo,Cuban American National Foundation,org,,3,4,7,cited_opposition 1; opposes 1; advocated_isolation_of 1
rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,org,,5,2,7,fiscal_sponsor 3; member 1; delegation 1
