domain,citations,share
en.wikipedia.org,82,18.1%
influencewatch.org,26,5.8%
projects.propublica.org,18,4.0%
keywiki.org,13,2.9%
afgj.org,12,2.7%
rosalux.nyc,10,2.2%
peoplesforum.org,9,2.0%
hatueyproject.org,7,1.5%
youthvsapocalypse.org,5,1.1%
southbronxunite.org,5,1.1%
thetricontinental.org,4,0.9%
facebook.com,4,0.9%
berklee.edu,4,0.9%
adastra.management,4,0.9%
nnomy.org,4,0.9%
revcom.us,4,0.9%
tucsonspotlight.org,4,0.9%
codepink.org,4,0.9%
home.treasury.gov,4,0.9%
breakthroughnews.org,3,0.7%
example.com,3,0.7%
adl.org,3,0.7%
orinocotribune.com,3,0.7%
linkedin.com,3,0.7%
colorlines.com,3,0.7%
gp.org,3,0.7%
economichumanrights.org,3,0.7%
findingaids.library.nyu.edu,3,0.7%
worldfellowship.org,3,0.7%
nateforcongress.com,3,0.7%
plenglish.com,3,0.7%
benjamindevco.com,2,0.4%
answercoalition.org,2,0.4%
liberationnews.org,2,0.4%
fightbacknews.org,2,0.4%
venezuelasolidaritynetwork.org,2,0.4%
causeiq.com,2,0.4%
web.archive.org,2,0.4%
consortiumnews.com,2,0.4%
citybureau.org,2,0.4%
thetriibe.com,2,0.4%
lcbh.org,2,0.4%
cindysheehanssoapbox.blogspot.com,2,0.4%
laprogressive.com,2,0.4%
commondreams.org,2,0.4%
worldpeacefoundation.org,2,0.4%
justice.gov,2,0.4%
veteransforpeace.org,2,0.4%
commonslibrary.org,2,0.4%
bustle.com,2,0.4%
prcsd.org,2,0.4%
bates.edu,2,0.4%
afsc.org,2,0.4%
brownmanrunning.com,2,0.4%
sites.middlebury.edu,2,0.4%
cubaheadlines.com,2,0.4%
rosalux.de,2,0.4%
assatasdaughters.org,2,0.4%
blacktranstravelfund.com,2,0.4%
corporategenomeproject.org,2,0.4%
refusefascism.org,2,0.4%
chicagohousinginitiative.org,2,0.4%
archive.thinkprogress.org,2,0.4%
state.gov,2,0.4%
nnoc.org,2,0.4%
thousandcurrents.org,2,0.4%
peoplesdispatch.org,1,0.2%
jis.gov.jm,1,0.2%
democracynow.org,1,0.2%
universityofthepoor.org,1,0.2%
blackallianceforpeace.com,1,0.2%
imdb.com,1,0.2%
democracyatwork.info,1,0.2%
tsinghua.academia.edu,1,0.2%
grantmakers.io,1,0.2%
therealnews.com,1,0.2%
yahoo.com,1,0.2%
dsausa.org,1,0.2%
ethanearle.info,1,0.2%
internacionalantifascista.org,1,0.2%
forodesaopaulo.org,1,0.2%
nejatngo.org,1,0.2%
valdaiclub.com,1,0.2%
liberationatl.org,1,0.2%
globalexchange.org,1,0.2%
news.mit.edu,1,0.2%
us.boell.org,1,0.2%
newlinesmag.com,1,0.2%
algemeiner.com,1,0.2%
ussearch.com,1,0.2%
radiohc.cu,1,0.2%
ips-dc.org,1,0.2%
sourcewatch.org,1,0.2%
jacobin.com,1,0.2%
kas.de,1,0.2%
x.com,1,0.2%
eulenspiegel.com,1,0.2%
voicesfromthegrassroots.org,1,0.2%
persuasion.community,1,0.2%
guidestar.org,1,0.2%
sadc-gmi.org,1,0.2%
alicewalkersgarden.com,1,0.2%
networkcontagion.us,1,0.2%
cotton.senate.gov,1,0.2%
nlginternational.org,1,0.2%
nlg.org,1,0.2%
411collective.com,1,0.2%
afgj.salsalabs.org,1,0.2%
ushrnetwork.org,1,0.2%
psuaaup.net,1,0.2%
arizonapalestine.org,1,0.2%
dol.gov,1,0.2%
jwj.org,1,0.2%
beefrelief.org,1,0.2%
blmokc.com,1,0.2%
sanctionstribunal.org,1,0.2%
dickinsonlaw.psu.edu,1,0.2%
okgazette.com,1,0.2%
change-links.org,1,0.2%
worldcantwait.org,1,0.2%
haury.arizona.edu,1,0.2%
elisabethepps.com,1,0.2%
queertheland.org,1,0.2%
specialtyfood.com,1,0.2%
johnniejae.com,1,0.2%
tempestmag.org,1,0.2%
centerforthehumanities.org,1,0.2%
kxci.org,1,0.2%
artisttrust.org,1,0.2%
food.berkeley.edu,1,0.2%
sgn.org,1,0.2%
sputnikglobe.com,1,0.2%
queerfoodfoundation.org,1,0.2%
nacle.com,1,0.2%
calstatela.edu,1,0.2%
azpalnetwork.com,1,0.2%
lpr.com,1,0.2%
ferguson-legal-47f1.squarespace.com,1,0.2%
kunstlerlaw.net,1,0.2%
launchherawards.weareupspring.com,1,0.2%
firstalert4.com,1,0.2%
borderlinks.org,1,0.2%
peoplessupportfoundation.org,1,0.2%
progressive.international,1,0.2%
wikidata.org,1,0.2%
sanctionssearch.ofac.treas.gov,1,0.2%
missionlocal.org,1,0.2%
anc1912.org.za,1,0.2%
ict.org.il,1,0.2%
amazonlaborunion.org,1,0.2%
assinvpopactcom.org,1,0.2%
bellyofthebeastcuba.com,1,0.2%
blacklivesmatteratschool.com,1,0.2%
blacklivesmatter.com,1,0.2%
blmgrassroots.org,1,0.2%
cuba-solidarity.org.uk,1,0.2%
canadiannetworkoncuba.ca,1,0.2%
changingfrequencies.com,1,0.2%
claudiajonesschool.org,1,0.2%
cpusa.org,1,0.2%
newyorklatinculture.com,1,0.2%
equalityforflatbush.org,1,0.2%
kenklippenstein.com,1,0.2%
fgbrdkuba.de,1,0.2%
haitianrefugees.org,1,0.2%
ifconews.org,1,0.2%
naacp.org,1,0.2%
noi.org,1,0.2%
ncbl.org,1,0.2%
latinamericanstudies.org,1,0.2%
cbsnews.com,1,0.2%
cubacenter.org,1,0.2%
hoodcommunist.org,1,0.2%
aaan.org,1,0.2%
thejerichomovement.com,1,0.2%
vb4cuba.com,1,0.2%
sfbayview.com,1,0.2%
witnessforpeace.org,1,0.2%
zapu.org,1,0.2%
banks.senate.gov,1,0.2%
nytimes.com,1,0.2%
jewishinsider.com,1,0.2%
taskforceamericas.org,1,0.2%
nps.gov,1,0.2%
trtworld.com,1,0.2%
uspeacecouncil.org,1,0.2%
nodal.am,1,0.2%
confengine.com,1,0.2%
liberationschool.org,1,0.2%
