domain,edges_sole_source,share_of_all_edges
en.wikipedia.org,183,17.3%
influencewatch.org,65,6.1%
state.gov,54,5.1%
projects.propublica.org,45,4.2%
hatueyproject.org,33,3.1%
afgj.org,23,2.2%
peoplesforum.org,21,2.0%
rosalux.nyc,19,1.8%
adl.org,18,1.7%
codepink.org,17,1.6%
nnoc.org,15,1.4%
keywiki.org,9,0.8%
venezuelasolidaritynetwork.org,8,0.8%
tucsonspotlight.org,8,0.8%
answercoalition.org,7,0.7%
foxnews.com,6,0.6%
southbronxunite.org,6,0.6%
nnomy.org,6,0.6%
breakthroughnews.org,5,0.5%
fightbacknews.org,5,0.5%
youthvsapocalypse.org,5,0.5%
lcbh.org,5,0.5%
gp.org,5,0.5%
plenglish.com,5,0.5%
progressive.international,4,0.4%
yahoo.com,4,0.4%
linkedin.com,4,0.4%
globalsecurity.org,4,0.4%
orinocotribune.com,4,0.4%
revcom.us,4,0.4%
economichumanrights.org,4,0.4%
discoverthenetworks.org,4,0.4%
cindysheehanssoapbox.blogspot.com,4,0.4%
worldfellowship.org,4,0.4%
berklee.edu,4,0.4%
trtworld.com,3,0.3%
liberationnews.org,3,0.3%
ethanearle.info,3,0.3%
taskforceamericas.org,3,0.3%
icssmarx.org,3,0.3%
newlinesmag.com,3,0.3%
waysandmeans.house.gov,3,0.3%
persuasion.community,3,0.3%
home.treasury.gov,3,0.3%
commonslibrary.org,3,0.3%
bustle.com,3,0.3%
findingaids.library.nyu.edu,3,0.3%
veteransforpeace.org,3,0.3%
elisabethepps.com,3,0.3%
nateforcongress.com,3,0.3%
adastra.management,3,0.3%
colorlines.com,3,0.3%
archive.thinkprogress.org,3,0.3%
thetricontinental.org,3,0.3%
consortiumnews.com,3,0.3%
globalexchange.org,3,0.3%
ngo-monitor.org,3,0.3%
popularresistance.org,3,0.3%
imdb.com,2,0.2%
codepinkdc.blogspot.com,2,0.2%
memri.org,2,0.2%
tsinghua.academia.edu,2,0.2%
peaceandfreedom.us,2,0.2%
therealnews.com,2,0.2%
facebook.com,2,0.2%
banks.senate.gov,2,0.2%
radiohc.cu,2,0.2%
ussearch.com,2,0.2%
rosalux.de,2,0.2%
cotton.senate.gov,2,0.2%
networkcontagion.us,2,0.2%
nlginternational.org,2,0.2%
commondreams.org,2,0.2%
brownmanrunning.com,2,0.2%
okgazette.com,2,0.2%
refusefascism.org,2,0.2%
worldcantwait.org,2,0.2%
sites.middlebury.edu,2,0.2%
prcsd.org,2,0.2%
afsc.org,2,0.2%
bates.edu,2,0.2%
artisttrust.org,2,0.2%
sgn.org,2,0.2%
sputnikglobe.com,2,0.2%
chicagohousinginitiative.org,2,0.2%
nacle.com,2,0.2%
worldpeacefoundation.org,2,0.2%
laprogressive.com,2,0.2%
ferguson-legal-47f1.squarespace.com,2,0.2%
citybureau.org,2,0.2%
kunstlerlaw.net,2,0.2%
corporategenomeproject.org,2,0.2%
justice.gov,2,0.2%
borderlinks.org,2,0.2%
thetriibe.com,2,0.2%
x.com,2,0.2%
thejerichomovement.com,2,0.2%
vb4cuba.com,2,0.2%
hoodcommunist.org,2,0.2%
nodal.am,2,0.2%
liberationschool.org,2,0.2%
cubasi.cu,2,0.2%
nbcnews.com,2,0.2%
afrocubaweb.com,2,0.2%
jis.gov.jm,1,0.1%
housingjusticeoralhistory.org,1,0.1%
nejatngo.org,1,0.1%
grantmakers.io,1,0.1%
medium.com,1,0.1%
law.justia.com,1,0.1%
salon.com,1,0.1%
btcpolicy.org,1,0.1%
ballotpedia.org,1,0.1%
news.mit.edu,1,0.1%
web.archive.org,1,0.1%
peoplesdispatch.org,1,0.1%
capitalresearch.org,1,0.1%
internacionalantifascista.org,1,0.1%
pbs.org,1,0.1%
cnn.com,1,0.1%
dickinsonlaw.psu.edu,1,0.1%
change-links.org,1,0.1%
blacktranstravelfund.com,1,0.1%
haury.arizona.edu,1,0.1%
queertheland.org,1,0.1%
specialtyfood.com,1,0.1%
johnniejae.com,1,0.1%
tempestmag.org,1,0.1%
centerforthehumanities.org,1,0.1%
kxci.org,1,0.1%
food.berkeley.edu,1,0.1%
queerfoodfoundation.org,1,0.1%
calstatela.edu,1,0.1%
azpalnetwork.com,1,0.1%
lpr.com,1,0.1%
launchherawards.weareupspring.com,1,0.1%
firstalert4.com,1,0.1%
missionlocal.org,1,0.1%
kenklippenstein.com,1,0.1%
claudiajonesschool.org,1,0.1%
thousandcurrents.org,1,0.1%
cbsnews.com,1,0.1%
blog.charitywatch.org,1,0.1%
washingtonexaminer.com,1,0.1%
jewishinsider.com,1,0.1%
simple.wikipedia.org,1,0.1%
instrumentl.com,1,0.1%
arizonapalestine.org,1,0.1%
iacenter.org,1,0.1%
immigrantsolidarity.org,1,0.1%
guidestar.org,1,0.1%
breakingthechainsmag.org,1,0.1%
peoplessupportfoundation.org,1,0.1%
samidoun.net,1,0.1%
hondurassolidarity.org,1,0.1%
assinvpopactcom.org,1,0.1%
sanctionstribunal.org,1,0.1%
thedailybeast.com,1,0.1%
canadiannetworkoncuba.ca,1,0.1%
fgbrdkuba.de,1,0.1%
sanctionssearch.ofac.treas.gov,1,0.1%
democracynow.org,1,0.1%
indypendent.org,1,0.1%
