edge_idx,source,target,relation,confidence,slices,domain,url
0,abbott,uk_labour,member,confirmed,rls-germany,en.wikipedia.org,https://en.wikipedia.org/wiki/Diane_Abbott
1,afgj,ev_nica_delegation_2021,organized,confirmed,latam-solidarity,afgj.org,https://afgj.org/statement-of-the-international-delegation-to-nicaragua-july-18-25-2021
2,afgj,ev_nica_election_2021,endorsed,inferred,latam-solidarity,influencewatch.org,https://www.influencewatch.org/non-profit/alliance-for-global-justice/
3,afgj,ev_vz_election_2024,accompanied,confirmed,latam-solidarity,afgj.org,https://afgj.org/communique-august-2-2024-alliance-for-global-justice-delegation-demands-respect-for-venezuelas-democracy-in-light-of-july-28-elections
4,afgj,ev_vz_election_2024,endorsed,confirmed,latam-solidarity,peoplesforum.org,https://peoplesforum.org/venezuela-elections
130,alvin_benjamin,arc_of_justice,funds,confirmed,iran-network,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/841618483
131,anderson-figueroa,china,foreign_tie,inferred,singham-spine,jis.gov.jm,https://jis.gov.jm/jamaicans-receive-scholarships-from-china/
132,ann_wright,iran,foreign_tie,confirmed,iran-network,codepink.org,https://www.codepink.org/day_2
133,ann_wright,zarif,met,confirmed,iran-network,codepink.org,https://www.codepink.org/day_2
134,answer,ev_nica_delegation_2021,cosponsored,confirmed,latam-solidarity,afgj.org,https://afgj.org/statement-of-the-international-delegation-to-nicaragua-july-18-25-2021
135,answer,ev_vz_election_2024,endorsed,confirmed,latam-solidarity,peoplesforum.org,https://peoplesforum.org/venezuela-elections
136,answer,hatuey,co_organizer,confirmed,hatuey,hatueyproject.org,https://www.hatueyproject.org/news/activists-land-in-cuba-with-emergency-medicine-delivery/
137,arc_of_justice,afgj,grant,confirmed,iran-network,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/841618483
138,arc_of_justice,ccr,grant,confirmed,iran-network,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/841618483
139,arc_of_justice,codepink,related_party,confirmed,iran-network,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/841618483
140,arc_of_justice,global_exchange,grant,confirmed,iran-network,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/841618483
141,arc_of_justice,grassroots_intl,grant,confirmed,iran-network,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/841618483
143,arc_of_justice,social_good_fund,grant,confirmed,iran-network,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/841618483
144,arlen_gomez,arc_of_justice,officer,confirmed,iran-network,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/841618483
145,atc,fsln,aligned,inferred,latam-solidarity,afgj.org,https://afgj.org/nicanotes-atc-defending-rural-workers-since-the-1970s
147,baker_gordon,cuba,foreign_tie,inferred,singham-spine,en.wikipedia.org,https://en.wikipedia.org/wiki/General_Baker
148,balagun,brecht_forum,former_role,confirmed,rls-germany,rosalux.nyc,https://rosalux.nyc/author/kazembebalagun/
149,balagun,rls_nyc,officer,confirmed,rls-germany,rosalux.nyc,https://rosalux.nyc/author/kazembebalagun/
150,bap,ev_nica_delegation_2021,cosponsored,confirmed,latam-solidarity,afgj.org,https://afgj.org/statement-of-the-international-delegation-to-nicaragua-july-18-25-2021
151,bap,ev_vz_election_2024,endorsed,confirmed,latam-solidarity,peoplesforum.org,https://peoplesforum.org/venezuela-elections
152,bap,rub_national_network_on_cuba,member,inferred,rubio-cuba,nnoc.org,https://nnoc.org/member-orgs/
153,baptist,cuba,foreign_tie,inferred,singham-spine,housingjusticeoralhistory.org,https://housingjusticeoralhistory.org/projects/picture-the-homeless-1/interviews/willie-baptist-%28interview-2%29-28/
154,tighe_barry,china,foreign_tie,inferred,singham-spine,trtworld.com,https://www.trtworld.com/magazine/american-activist-from-vietnam-to-gaza-war-my-government-lies-to-me-18204641
155,belen,china,foreign_tie,inferred,singham-spine,imdb.com,https://www.imdb.com/name/nm11709082/
156,belen,russia,foreign_tie,inferred,singham-spine,imdb.com,https://www.imdb.com/name/nm11709082/
157,bello,pi,council,confirmed,rls-germany,progressive.international,https://progressive.international/members/
158,bello,rls_nyc,event_participant,inferred,rls-germany,keywiki.org,https://keywiki.org/Rosa_Luxemburg_Stiftung
159,ben_becker,answer,former_organizer,confirmed,hatuey,adl.org,https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl
