id,label,kind,layer,primary_slice,n_slices,unique_neighbors,edge_count,degree_rank,betweenness,betweenness_rank
afgj,Alliance for Global Justice,org,center,afgj-interlock,5,150,152,1,84732.2,1
rubio_report,Rubio Cuba Report (State Dept.),concept,context,rubio-cuba,1,46,46,2,16394.1,2
cuba,Cuba,concept,state,singham-spine,1,34,40,3,15421.0,3
codepink,CODEPINK,org,context,iran-network,4,32,39,4,12194.4,5
pf,The People's Forum,org,money,hatuey,5,29,40,5,6536.7,8
benjamin,Medea Benjamin,person,context,iran-network,3,24,30,6,3994.8,17
china,China (PRC),concept,state,singham-spine,1,24,26,7,5097.8,11
psl,Party for Socialism & Liberation,org,party,hatuey,4,24,30,8,3763.4,21
rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),org,center,rls-germany,1,24,24,9,7710.6,7
answer,ANSWER Coalition,org,party,hatuey,2,23,29,10,3880.0,19
dsa,Democratic Socialists of America,org,veneer,latam-solidarity,3,21,22,11,10446.3,6
icap,ICAP,org,state,hatuey,2,19,24,12,4911.8,12
iran,Islamic Republic of Iran (state),concept,state,iran-network,2,19,20,13,2149.3,29
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),concept,state,latam-solidarity,1,18,20,14,4202.6,15
rub_national_network_on_cuba,National Network on Cuba,org,center,rubio-cuba,1,18,19,15,12499.6,4
venezuela,Venezuela,concept,state,singham-spine,1,18,23,16,2216.3,27
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",org,money,iran-network,1,16,18,17,5193.0,10
ipa,International Peoples' Assembly,concept,party,latam-solidarity,1,16,17,18,2187.3,28
hatuey,The Hatuey Project,project,center,hatuey,1,15,19,19,4286.3,14
lariva,Gloria La Riva,person,state,afgj-interlock,3,15,19,20,1391.5,44
singham,Neville Roy Singham,person,money,hatuey,4,15,18,21,1649.1,39
tricontinental,Tricontinental: Institute for Social Research,org,money,latam-solidarity,4,15,18,22,2536.4,24
delacruz,Claudia De la Cruz,person,party,hatuey,4,14,19,23,1890.6,36
jef,Justice and Education Fund (JEF),org,money,iran-network,2,14,14,24,4354.8,13
btm,BreakThrough News,org,money,singham-spine,1,13,24,25,1382.5,45
maduro,Nicolás Maduro,person,state,latam-solidarity,1,12,15,26,2431.6,26
brian_becker,Brian Becker,person,party,hatuey,2,11,14,27,1299.4,49
evans,Jodie Evans,person,money,iran-network,3,10,13,28,698.7,80
rub_hamas,Hamas,org,terror,rubio-cuba,1,10,10,29,2762.1,23
global_exchange,Global Exchange,org,money,iran-network,2,9,10,30,873.6,68
per_kevin_zeese,Kevin Zeese,person,veneer,afgj-interlock,1,9,12,31,369.9,126
ev_antifa_festival_2025,International Anti-Fascist Festival (Caracas Jan 9-11 2025),concept,state,latam-solidarity,1,8,8,32,169.8,163
hub_occupy_wall_street,Occupy Wall Street,org,party,afgj-interlock,1,8,8,33,1498.7,43
nicanet,Nicaragua Network,org,party,latam-solidarity,1,8,9,34,119.6,183
nlg,National Lawyers Guild,org,veneer,latam-solidarity,2,8,8,35,2143.0,30
p_chicago_housing_justice_league,Chicago Housing Justice League,project,veneer,afgj-interlock,2,8,8,36,3979.7,18
p_world_can_t_wait,World Can’t Wait,project,party,afgj-interlock,2,8,10,37,1371.3,46
rub_black_panther_party,Black Panther Party,org,context,rubio-cuba,1,8,9,38,720.9,79
rub_weather_underground,Weather Underground,org,context,rubio-cuba,1,8,12,39,1003.5,62
samidoun,Samidoun Palestinian Prisoner Solidarity Network,org,terror,iran-network,1,8,8,40,1909.6,35
ben_becker,Ben Becker,person,party,hatuey,3,7,8,41,250.8,138
delossantos,Manolo de los Santos,person,party,hatuey,4,7,11,42,296.1,132
german_gov,German Federal Government,concept,state,rls-germany,1,7,8,43,3835.5,20
harris,Roger D. Harris,person,veneer,latam-solidarity,1,7,7,44,134.5,178
hub_assata_shakur,Assata Shakur,person,party,afgj-interlock,2,7,8,45,811.7,69
kaufman,Chuck Kaufman,person,veneer,latam-solidarity,1,7,7,46,61.8,205
ma,"Simon Ma, MD, MPH",person,state,afgj-interlock,2,7,7,47,47.6,209
p_popular_resistance,Popular Resistance,project,party,afgj-interlock,2,7,7,48,582.5,91
per_cindy_sheehan,Cindy Sheehan,person,veneer,afgj-interlock,1,7,7,49,417.9,121
pflp,Popular Front for the Liberation of Palestine (PFLP),org,terror,iran-network,2,7,8,50,740.2,77
puryear,Eugene Puryear,person,party,singham-spine,1,7,12,51,625.0,84
richard_becker,Richard Becker,person,party,hatuey,2,7,7,52,242.2,148
rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,org,money,rubio-cuba,1,7,7,53,1120.8,52
rub_venceremos_brigade,Venceremos Brigade,org,money,rubio-cuba,1,7,9,54,198.6,157
russia,Russia,concept,state,singham-spine,1,7,7,55,1284.7,50
viq,"Rachel Viqueira, MHS",person,state,afgj-interlock,2,7,7,56,47.6,210
vsn,Venezuela Solidarity Network,org,veneer,latam-solidarity,1,7,7,57,323.3,130
fsln,FSLN — Sandinista National Liberation Front,org,state,latam-solidarity,2,6,6,58,4088.1,16
hub_hugo_chavez,Hugo Chavez,person,party,afgj-interlock,1,6,8,59,228.6,153
ortega,Daniel Ortega,person,state,latam-solidarity,1,6,6,60,287.9,133
p_coalition_of_women_for_peace,Coalition of Women for Peace,project,state,afgj-interlock,2,6,8,61,5823.8,9
p_interoccupy,InterOccupy,project,party,afgj-interlock,2,6,6,62,993.2,66
p_refuse_fascism,Refuse Fascism,project,party,afgj-interlock,2,6,8,63,1095.1,54
per_margaret_flowers,Margaret Flowers,person,veneer,afgj-interlock,1,6,9,64,94.1,197
per_tef_poe,Tef Poe,person,veneer,afgj-interlock,1,6,7,65,757.6,74
prashad,Vijay Prashad,person,party,rls-germany,3,6,9,66,1624.4,41
psf,People's Support Foundation (PSF),org,money,iran-network,2,6,6,67,1163.3,51
rub_alpha_66,Alpha 66,org,opposition,rubio-cuba,1,6,6,68,769.4,70
rub_brothers_to_the_rescue,Brothers to the Rescue,org,opposition,rubio-cuba,1,6,6,69,769.4,71
rub_cuban_american_national_fo,Cuban American National Foundation,org,opposition,rubio-cuba,1,6,7,70,769.4,72
rub_p_robert_f_williams,Robert F. Williams,person,context,rubio-cuba,1,6,6,71,1068.8,55
rub_the_wasp_network_red_avisp,The Wasp Network / Red Avispa,org,state,rubio-cuba,1,6,6,72,151.7,174
ucf,United Community Fund,org,money,singham-spine,1,6,6,73,742.0,76
bap,Black Alliance for Peace,org,veneer,latam-solidarity,2,5,5,74,444.6,119
die_linke,Die Linke,org,party,rls-germany,1,5,5,75,560.5,93
dpaul,David Paul,person,veneer,latam-solidarity,1,5,5,76,240.9,150
garcia,Karina Garcia,person,party,hatuey,2,5,6,77,45.4,213
hub_green_party,Green Party,org,party,afgj-interlock,1,5,5,78,133.7,179
hub_leni_villag_mez_reeves,Leni Villagómez Reeves,person,party,afgj-interlock,1,5,5,79,15.2,236
hub_occupy_sandy,Occupy Sandy,org,party,afgj-interlock,1,5,5,80,28.9,221
hub_revolutionary_communist_party_usa,"Revolutionary Communist Party, USA",org,party,afgj-interlock,1,5,7,81,8.4,252
jvp,Jewish Voice for Peace (JVP),org,context,iran-network,1,5,5,82,557.6,94
marsh,"Nadia Marsh, MD",person,state,afgj-interlock,2,5,5,83,14.9,237
ncri_report,Following the Benjamins: How a $48 Million Foundation Operated an Iran-Aligned Influence Network Outside State Oversight in Florida,concept,context,iran-network,1,5,5,84,179.6,161
p_arizona_palestine_solidarity_alliance,Arizona Palestine Solidarity Alliance,project,state,afgj-interlock,2,5,5,85,760.6,73
p_assata_s_daughters,Assata’s Daughters,project,party,afgj-interlock,3,5,5,86,1024.6,60
