id,label,primary_slice,x,y,dist_own_centroid,z_within_slice,share_of_6_nearest_in_same_slice,knn_majority_slice
hub_assata_shakur,Assata Shakur,afgj-interlock,1899,1625,2425,4.75,0.0,rubio-cuba
cuba,Cuba,singham-spine,1869,1802,2464,4.64,0.0,rubio-cuba
venezuela,Venezuela,singham-spine,777,1698,1693,2.55,0.0,latam-solidarity
rub_germany_cuba_friendship_as,Germany-Cuba Friendship Association,rubio-cuba,-1084,-2003,2718,2.54,0.0,rls-germany
minsap,MINSAP (Cuban Health Ministry),hatuey,1996,1943,2229,2.01,0.0,rubio-cuba
icap,ICAP,hatuey,1960,1691,2020,1.57,0.0,rubio-cuba
codepink,CODEPINK,iran-network,-687,914,1634,1.33,0.0,singham-spine
clarkgollub,Jill Clark-Gollub,latam-solidarity,-211,-975,1531,1.17,0.0,rubio-cuba
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",iran-network,-1172,-101,1556,1.15,0.0,afgj-interlock
cultureproject,Culture Project,singham-spine,622,-760,1134,1.03,0.0,afgj-interlock
p_radical_bloggers_fund,Radical Bloggers Fund,afgj-projects,-1051,-459,1125,1.01,0.0,afgj-interlock
fsp,Foro de São Paulo,latam-solidarity,14,-951,1462,0.99,0.0,afgj-interlock
xiao,Sheila Xiao,singham-spine,-155,-905,1108,0.96,0.0,afgj-projects
grassroots_intl,Grassroots International,iran-network,45,1091,1461,0.94,0.0,rubio-cuba
p_assata_s_daughters,Assata’s Daughters,afgj-interlock,-926,-427,1086,0.86,0.0,afgj-projects
p_never_again_action,Never Again Action,afgj-interlock,-978,-229,1062,0.79,0.0,singham-spine
p_friends_of_mujeres_de_la_tierra,Friends of Mujeres de la Tierra,afgj-projects,262,913,1065,0.79,0.0,afgj-interlock
p_initiative_for_equality,Initiative for Equality,afgj-projects,-540,-1022,1059,0.76,0.0,afgj-interlock
tighe_barry,Tighe Barry,iran-network,-295,879,1382,0.75,0.0,afgj-interlock
janequine,Olivia Goncalves Janequine,singham-spine,-545,-675,1026,0.74,0.0,afgj-interlock
ron,Carlos Ron,rubio-cuba,1047,1715,1576,0.74,0.0,latam-solidarity
p_international_indigenous_initiative_fo,InterNational Indigenous Initiative for Transformative Collaboration,afgj-projects,-947,272,1049,0.72,0.0,singham-spine
o4p,Organizing for Power (O4P),rls-germany,1075,-579,1384,0.67,0.0,afgj-interlock
p_kevin_zeese_emerging_activists_fund,Kevin Zeese Emerging Activists Fund,afgj-interlock,-826,591,1015,0.66,0.0,afgj-projects
fernandes,Marco Fernandes,singham-spine,-981,37,997,0.66,0.0,afgj-interlock
p_corporate_genome_project,Corporate Genome Project,afgj-interlock,-355,984,1001,0.62,0.0,singham-spine
frso,Freedom Road Socialist Organization,latam-solidarity,-1051,106,1316,0.62,0.0,singham-spine
psf,People's Support Foundation (PSF),iran-network,-940,-552,1325,0.62,0.0,afgj-interlock
rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,rubio-cuba,-1086,3,1492,0.61,0.0,afgj-interlock
p_thompson_house_tucson,Thompson House Tucson,afgj-interlock,-950,144,995,0.6,0.0,singham-spine
caruso,Christopher Chris Caruso,singham-spine,960,11,973,0.6,0.0,afgj-interlock
p_splitseed_productions,SplitSeed Productions,afgj-interlock,-597,818,988,0.58,0.0,latam-solidarity
uk_labour,UK Labour Party,rls-germany,878,382,1332,0.56,0.0,afgj-interlock
camacaro,William Camacaro,latam-solidarity,335,-787,1292,0.56,0.0,rubio-cuba
tfa,Task Force on the Americas,latam-solidarity,-315,-678,1286,0.55,0.0,afgj-interlock
rub_students_for_a_democratic,Students for a Democratic Society,rubio-cuba,-174,-1056,1453,0.55,0.0,afgj-interlock
bertoldi,Manuel Bertoldi,latam-solidarity,535,-742,1283,0.54,0.0,afgj-interlock
baker_carolyn,Carolyn Baker,singham-spine,-893,503,950,0.53,0.0,afgj-interlock
p_bv_solidarity_project,BV Solidarity Project,afgj-projects,-65,-1118,997,0.53,0.0,afgj-interlock
rub_the_jericho_movement,The Jericho Movement,rubio-cuba,-832,-372,1379,0.43,0.0,afgj-interlock
p_white_noise_collective,White Noise Collective,afgj-projects,-299,-1039,969,0.42,0.0,afgj-interlock
pwa,People's Welfare Association,singham-spine,818,550,889,0.37,0.0,afgj-interlock
per_sunsara_taylor,Sunsara Taylor,afgj-interlock,-308,-769,905,0.34,0.0,afgj-projects
jvp,Jewish Voice for Peace (JVP),iran-network,-732,145,1199,0.34,0.0,afgj-interlock
niac,National Iranian American Council (NIAC),iran-network,-256,671,1183,0.3,0.0,afgj-interlock
abbott,Diane Abbott,rls-germany,470,663,1205,0.29,0.0,singham-spine
dwilliams,David Williams,rls-germany,906,-85,1199,0.28,0.0,afgj-interlock
p_lgbt_freedom_and_asylum_network,LGBT Freedom and Asylum Network,afgj-projects,-823,-503,927,0.27,0.0,afgj-interlock
kuang,Savannah Kuang,latam-solidarity,-661,-277,1163,0.23,0.0,afgj-interlock
p_just_info,Just Info,afgj-interlock,-175,882,845,0.16,0.0,latam-solidarity
nlg,National Lawyers Guild,latam-solidarity,976,-329,1131,0.15,0.0,afgj-projects
mccarthy,Bobbette McCarthy,singham-spine,81,987,800,0.13,0.0,afgj-interlock
rub_brothers_to_the_rescue,Brothers to the Rescue,rubio-cuba,-232,-721,1180,0.12,0.0,afgj-interlock
p_amigos_de_la_playa,Amigos de la Playa,afgj-projects,-829,103,883,0.1,0.0,rubio-cuba
pfetcher,Jason Pfetcher,singham-spine,574,709,770,0.05,0.0,afgj-interlock
baptist,William Willie Baptist Jr.,singham-spine,-110,-563,763,0.03,0.0,afgj-interlock
chanoine,Claudette Chanoine,rls-germany,718,-696,1078,0.02,0.0,afgj-interlock
per_gila_svirsky,Gila Svirsky,afgj-interlock,-478,667,795,0.02,0.0,rubio-cuba
per_mcahl_sheffield,Mcahl Sheffield,afgj-interlock,444,-607,783,-0.02,0.0,afgj-projects
answer,ANSWER Coalition,hatuey,-643,710,1260,-0.02,0.0,latam-solidarity
p_reconnect_earth,Reconnect Earth,afgj-projects,577,515,846,-0.04,0.0,afgj-interlock
ghost_officers,Ghost Officers (5 unidentified signers),iran-network,-476,-921,1027,-0.06,0.0,afgj-interlock
p_centro_solidario_de_puerto_rico,Centro Solidario de Puerto Rico,afgj-projects,786,-440,825,-0.12,0.0,singham-spine
p_la_colectiva,La ColectiVA,afgj-projects,-387,-841,825,-0.12,0.0,afgj-interlock
