edge_idx,source,target,relation,slices,confidence,years,min_year,max_year,span_years,ranges,label
655,rub_venceremos_brigade,icap,interlock,rubio-cuba,confirmed,1960,1960,1960,0,,ICAP-hosted delegation since the 1960s; DI officers 'assigned to ICAP to screen
611,rub_nation_of_islam,rubio_report,cited_context,rubio-cuba,inferred,1961,1961,1961,0,,1961 Castro-Malcolm X meeting (context)
834,tricontinental,cuba,named_after,_mined,inferred,1966,1966,1966,0,,named after 1966 Havana conference
615,rub_olas,rubio_report,cited_context,rubio-cuba,inferred,1967,1967,1967,0,,named: Carmichael 1967 Havana speech
751,rub_venceremos_brigade,cuba,sends_volunteers_to,_mined,confirmed,1969 2026,1969,2026,57,1969-2026,9 delegations (1969–2026)
610,rub_montoneros,rubio_report,cited_historical,rubio-cuba,inferred,1970,1970,1970,0,,"sec.I-III: Cuba-funded (1970s, defunct)"
622,rub_p_charles_charlie_hill,rub_republic_of_new_afrika,role,rubio-cuba,inferred,1971,1971,1971,0,,Republic of New Afrika member; 1971 TWA hijacking to Cuba; fugitive
170,benjamin,global_exchange,co_founder,iran-network,confirmed,1988,1988,1988,0,,"Co-founded Global Exchange, 1988"
313,irgens_moller,global_exchange,co_founder,iran-network,confirmed,1988 2011,1988,2011,23,1988-2011,"Co-founded GE 1988; ED 1988-2011, then Sec."
801,global_exchange,cuba,travel,_mined,confirmed,1990 2026,1990,2026,36,1990-2026,23 delegations (1990–2026)
1044,rub_ifco_pastors_for_peace,cuba,delegation,delegations,confirmed,1992 2022,1992,2022,30,1992-2022,8 delegations (1992–2022)
6,nicanet,afgj,project_of,latam-solidarity,confirmed,1998,1998,1998,0,,absorbed as AFGJ project (1998)
436,per_gila_svirsky,p_coalition_of_women_for_peace,role,afgj-interlock,confirmed,2000,2000,2000,0,,Co-founder (2000); prior 6 years at New Israel Fund
438,per_hannah_safran,p_coalition_of_women_for_peace,role,afgj-interlock,confirmed,2000,2000,2000,0,,Co-founder (2000); also co-founder of Women in Black
878,rub_national_network_on_cuba,cuba,supports,_mined,confirmed,2000 2026,2000,2026,26,2000-2026,6 delegations (2000–2026)
