year,edges_active,edges_mentioning,nodes_mentioning
1947,0,0,1
1950,0,0,1
1956,0,0,1
1960,1,1,1
1961,1,1,0
1966,1,1,0
1967,1,1,0
1969,1,1,1
1970,2,1,0
1971,2,1,0
1972,1,0,0
1973,1,0,0
1974,1,0,1
1975,1,0,0
1976,1,0,0
1977,1,0,0
1978,1,0,0
1979,1,0,3
1980,1,0,1
1981,1,0,0
1982,1,0,0
1983,1,0,1
1984,1,0,0
1985,1,0,0
1986,1,0,0
1987,1,0,0
1988,3,2,2
1989,2,0,0
1990,3,1,1
1991,3,0,0
1992,4,1,0
1993,4,0,0
1994,4,0,0
1995,4,0,0
1996,4,0,0
1997,4,0,0
1998,5,1,1
1999,4,0,0
2000,7,3,2
2001,5,0,0
2002,7,2,1
2003,6,0,1
2004,6,0,1
2005,6,0,2
2006,8,2,2
2007,7,0,0
2008,11,4,2
2009,13,2,3
2010,13,0,0
2011,13,1,2
2012,14,3,4
2013,18,5,5
2014,24,6,5
2015,29,8,5
2016,29,5,6
2017,33,6,6
2018,35,9,17
2019,41,22,20
2020,25,4,2
2021,24,3,6
2022,24,12,8
2023,20,9,8
2024,21,10,18
2025,25,16,12
2026,12,12,12
