relation,edges,confirmed,inferred,confirmed_share
role,141,106,35,75%
fiscal_sponsor,128,122,6,95%
associate,88,0,88,0%
member,85,56,29,66%
foreign_tie,50,6,44,12%
affiliation,27,4,23,15%
funds,25,14,11,56%
officer,18,15,3,83%
cited_context,17,0,17,0%
attended,15,9,6,60%
collaborator,15,1,14,7%
director,15,7,8,47%
co_founder,14,8,6,57%
co_signatory,13,3,10,23%
coordinator,13,4,9,31%
hosted,13,5,8,38%
cited_historical,12,0,12,0%
endorsed,12,8,4,67%
infiltrated,12,0,12,0%
met,12,3,9,25%
cited_designation,11,0,11,0%
grant,11,8,3,73%
founder,7,3,4,43%
supports,7,1,6,14%
network,6,0,6,0%
secretary,6,2,4,33%
spouse,6,2,4,33%
accompanied,5,5,0,100%
attended_delegation,5,5,0,100%
cited_by_ncri,5,0,5,0%
host,5,0,5,0%
interlock,5,3,2,60%
organized,5,3,2,60%
partners,5,1,4,20%
president,5,1,4,20%
relative,5,0,5,0%
