edge_idx,source,target,relation,confidence,slices,domains,source_types,has_official_record,only_advocacy_research,only_encyclopedic,only_movement_or_self,wayback_urls
0,abbott,uk_labour,member,confirmed,rls-germany,en.wikipedia.org,encyclopedic,0,0,1,0,0
1,afgj,ev_nica_delegation_2021,organized,confirmed,latam-solidarity,afgj.org,movement_or_self,0,0,0,1,0
2,afgj,ev_nica_election_2021,endorsed,inferred,latam-solidarity,influencewatch.org,advocacy_research,0,1,0,0,0
3,afgj,ev_vz_election_2024,accompanied,confirmed,latam-solidarity,afgj.org,movement_or_self,0,0,0,1,0
4,afgj,ev_vz_election_2024,endorsed,confirmed,latam-solidarity,peoplesforum.org,movement_or_self,0,0,0,1,0
5,afgj,hatuey,fiscal_sponsor,confirmed,hatuey,afgj.org|influencewatch.org|radiohc.cu|influencewatch.org,advocacy_research|movement_or_self|other,0,0,0,0,1
6,nicanet,afgj,project_of,confirmed,latam-solidarity,afgj.org|afgj.org,movement_or_self,0,0,0,1,0
7,afgj,p_411_collective,fiscal_sponsor,confirmed,afgj-projects,411collective.com|influencewatch.org|afgj.org|influencewatch.org,advocacy_research|movement_or_self|other,0,0,0,0,1
8,afgj,p_action_bail_fund,fiscal_sponsor,confirmed,afgj-projects,afgj.salsalabs.org|influencewatch.org|afgj.org|influencewatch.org,advocacy_research|movement_or_self|other_org_site,0,0,0,0,1
9,afgj,p_adastra,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,adastra.management|influencewatch.org|afgj.org|influencewatch.org,advocacy_research|movement_or_self,0,0,0,0,1
10,afgj,p_african_awareness_association,fiscal_sponsor,confirmed,afgj-projects,aaa-cubatours.com|afgj.org|influencewatch.org,advocacy_research|movement_or_self|other,0,0,0,0,1
11,afgj,p_alianza_ind_gena_sin_fronteras_indigen,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,ushrnetwork.org|afgj.org|influencewatch.org,advocacy_research|movement_or_self|other_org_site,0,0,0,0,1
12,afgj,p_amigos_de_la_playa,fiscal_sponsor,confirmed,afgj-projects,facebook.com|afgj.org|influencewatch.org,advocacy_research|movement_or_self|social,0,0,0,0,1
13,afgj,p_arizona_educators_united,fiscal_sponsor,confirmed,afgj-projects,psuaaup.net|influencewatch.org|afgj.org|influencewatch.org,advocacy_research|movement_or_self|other,0,0,0,0,1
14,afgj,p_arizona_palestine_solidarity_alliance,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,arizonapalestine.org|influencewatch.org|afgj.org|influencewatch.org,advocacy_research|movement_or_self|other_org_site,0,0,0,0,1
15,afgj,p_asotrecol,fiscal_sponsor,confirmed,afgj-projects,dol.gov|influencewatch.org|afgj.org|automotiveworkers.org|truthout.org|influencewatch.org,advocacy_research|government|movement_or_self|news|other_org_site,0,0,0,0,1
16,afgj,p_assata_s_daughters,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,assatasdaughters.org|influencewatch.org|afgj.org|assatasdaughters.org|wbez.org|influencewatch.org,advocacy_research|movement_or_self|other_org_site,0,0,0,0,1
17,afgj,p_az_jobs_with_justice,fiscal_sponsor,confirmed,afgj-projects,jwj.org|influencewatch.org|afgj.org|influencewatch.org,advocacy_research|movement_or_self|other_org_site,0,0,0,0,1
18,afgj,p_beef_relief,fiscal_sponsor,confirmed,afgj-projects,beefrelief.org|influencewatch.org|afgj.org|influencewatch.org,advocacy_research|movement_or_self|other_org_site,0,0,0,0,1
19,afgj,p_black_and_pink_ma,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,influencewatch.org|afgj.org|influencewatch.org,advocacy_research|movement_or_self,0,0,0,0,1
