url,domain,edges,distinct_nodes,complete_clique,relations,nodes
https://www.influencewatch.org/non-profit/alliance-for-global-justice/,influencewatch.org,12,13,0,co_signatory 7; helped_form 1; fiscal_sponsor 1,Alliance for Global J…; ANSWER Coalition; Black Alliance for Pe…; CODEPINK; Cuba; Freedom Road Socialis…; Occupy Wall Street; James Patrick Jordan
https://en.wikipedia.org/wiki/BreakThrough_News,en.wikipedia.org,10,8,0,host 3; contributor 2; editor-in-chief 1,ANSWER Coalition; Ben Becker; Brian Becker; BreakThrough News; Claudia De la Cruz; Rania Abdul Khalek; The People's Forum; Eugene Puryear
https://en.wikipedia.org/wiki/Cuban_Five,en.wikipedia.org,9,7,0,infiltrated 9,Alpha 66; Brothers to the Rescue; Cuban American Nation…; Antonio Guerrero; Gerardo Hernández; Ramón Labañino; René González
https://en.wikipedia.org/wiki/The_World_Can%27t_Wait,en.wikipedia.org,9,7,0,supporter 4; chaired 1; affiliation 1,Eve Ensler; Revolutionary Communi…; Refuse Fascism; World Can’t Wait; Cindy Sheehan; Debra Sweet; Sunsara Taylor
https://en.wikipedia.org/wiki/Party_for_Socialism_and_Liberation,en.wikipedia.org,8,8,0,role 3; affiliation 2; member 1,Brian Becker; BreakThrough News; Claudia De la Cruz; Justice and Education…; Rania Abdul Khalek; The People's Forum; Party for Socialism &…; Eugene Puryear
https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl,adl.org,8,8,0,network 2; co-organizer 2; collaborator 1,ANSWER Coalition; Jewish Voice for Peac…; The People's Forum; Party for Socialism &…; Eugene Puryear; Russia; Samidoun Palestinian …; Venezuela
https://www.influencewatch.org/non-profit/the-peoples-forum/,influencewatch.org,8,9,0,partners 4; hosted 1; co_signatory 1,ANSWER Coalition; David Sung Mo Chung; CODEPINK; Democratic Socialists…; The People's Forum; Vijay Prashad; Party for Socialism &…; Samidoun Palestinian …
https://www.answercoalition.org/afgj_s_chuck_kaufman_takes_on_imperialist_myths_in,answercoalition.org,7,7,0,supports 5; reposted 1; photo_credit 1,Alliance for Global J…; ANSWER Coalition; FSLN — Sandinista Nat…; Chuck Kaufman; Dan Kovalik; Nicaragua Network; Daniel Ortega
https://en.wikipedia.org/wiki/Kevin_Zeese,en.wikipedia.org,6,6,0,associate 5; co_founder 1,Medea Benjamin; CODEPINK; Green Party; Nicolás Maduro; Kevin Zeese; Margaret Flowers
https://en.wikipedia.org/wiki/Medea_Benjamin,en.wikipedia.org,6,7,0,aided 2; relative 1; member 1,Medea Benjamin; CODEPINK; Cuba; Green Party; Green Shadow Cabinet; Rose Benjamin; Students for a Democr…
