id,label,kind,edges,confirmed,inferred,confirmed_share
afgj,Alliance for Global Justice,org,152,133,19,88%
rubio_report,Rubio Cuba Report (State Dept.),concept,46,1,45,2%
cuba,Cuba,concept,40,6,34,15%
pf,The People's Forum,org,40,22,18,55%
codepink,CODEPINK,org,39,19,20,49%
psl,Party for Socialism & Liberation,org,30,11,19,37%
benjamin,Medea Benjamin,person,30,11,19,37%
answer,ANSWER Coalition,org,29,10,19,34%
china,China (PRC),concept,26,0,26,0%
rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),org,24,20,4,83%
btm,BreakThrough News,org,24,1,23,4%
icap,ICAP,org,24,16,8,67%
venezuela,Venezuela,concept,23,1,22,4%
dsa,Democratic Socialists of America,org,22,14,8,64%
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),concept,20,18,2,90%
iran,Islamic Republic of Iran (state),concept,20,7,13,35%
hatuey,The Hatuey Project,project,19,15,4,79%
rub_national_network_on_cuba,National Network on Cuba,org,19,12,7,63%
delacruz,Claudia De la Cruz,person,19,8,11,42%
lariva,Gloria La Riva,person,19,5,14,26%
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",org,18,17,1,94%
singham,Neville Roy Singham,person,18,5,13,28%
tricontinental,Tricontinental: Institute for Social Research,org,18,6,12,33%
ipa,International Peoples' Assembly,concept,17,7,10,41%
maduro,Nicolás Maduro,person,15,5,10,33%
brian_becker,Brian Becker,person,14,5,9,36%
jef,Justice and Education Fund (JEF),org,14,8,6,57%
evans,Jodie Evans,person,13,8,5,62%
per_kevin_zeese,Kevin Zeese,person,12,2,10,17%
puryear,Eugene Puryear,person,12,1,11,8%
rub_weather_underground,Weather Underground,org,12,0,12,0%
delossantos,Manolo de los Santos,person,11,5,6,45%
p_world_can_t_wait,World Can’t Wait,project,10,2,8,20%
global_exchange,Global Exchange,org,10,8,2,80%
rub_hamas,Hamas,org,10,0,10,0%
nicanet,Nicaragua Network,org,9,3,6,33%
per_margaret_flowers,Margaret Flowers,person,9,2,7,22%
prashad,Vijay Prashad,person,9,4,5,44%
rub_black_panther_party,Black Panther Party,org,9,0,9,0%
rub_venceremos_brigade,Venceremos Brigade,org,9,6,3,67%
p_chicago_housing_justice_league,Chicago Housing Justice League,project,8,6,2,75%
p_coalition_of_women_for_peace,Coalition of Women for Peace,project,8,3,5,38%
p_refuse_fascism,Refuse Fascism,project,8,4,4,50%
samidoun,Samidoun Palestinian Prisoner Solidarity Network,org,8,3,5,38%
ben_becker,Ben Becker,person,8,5,3,62%
ev_antifa_festival_2025,International Anti-Fascist Festival (Caracas Jan 9-11 2025),concept,8,6,2,75%
german_gov,German Federal Government,concept,8,6,2,75%
hub_assata_shakur,Assata Shakur,person,8,0,8,0%
nlg,National Lawyers Guild,org,8,3,5,38%
hub_hugo_chavez,Hugo Chavez,person,8,0,8,0%
hub_occupy_wall_street,Occupy Wall Street,org,8,0,8,0%
rub_may_19th_communist_organiz,May 19th Communist Organization,org,8,0,8,0%
pflp,Popular Front for the Liberation of Palestine (PFLP),org,8,1,7,12%
p_popular_resistance,Popular Resistance,project,7,3,4,43%
russia,Russia,concept,7,0,7,0%
richard_becker,Richard Becker,person,7,4,3,57%
rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,org,7,4,3,57%
harris,Roger D. Harris,person,7,5,2,71%
vsn,Venezuela Solidarity Network,org,7,4,3,57%
kaufman,Chuck Kaufman,person,7,5,2,71%
ma,"Simon Ma, MD, MPH",person,7,1,6,14%
viq,"Rachel Viqueira, MHS",person,7,1,6,14%
per_carl_dix,Carl Dix,person,7,2,5,29%
hub_revolutionary_communist_party_usa,"Revolutionary Communist Party, USA",org,7,0,7,0%
per_cindy_sheehan,Cindy Sheehan,person,7,1,6,14%
per_tef_poe,Tef Poe,person,7,1,6,14%
rub_cuban_american_national_fo,Cuban American National Foundation,org,7,0,7,0%
p_interoccupy,InterOccupy,project,6,4,2,67%
ann_wright,Ann Wright,person,6,2,4,33%
zarif,Mohammad Javad Zarif,person,6,2,4,33%
fsln,FSLN — Sandinista National Liberation Front,org,6,1,5,17%
pi,Progressive International,org,6,2,4,33%
garcia,Karina Garcia,person,6,2,4,33%
ucf,United Community Fund,org,6,5,1,83%
press_tv,Press TV,org,6,3,3,50%
psf,People's Support Foundation (PSF),org,6,3,3,50%
rub_black_liberation_army,Black Liberation Army,org,6,0,6,0%
ortega,Daniel Ortega,person,6,4,2,67%
per_cornel_west,Cornel West,person,6,2,4,33%
rub_alpha_66,Alpha 66,org,6,0,6,0%
rub_brothers_to_the_rescue,Brothers to the Rescue,org,6,0,6,0%
rub_the_wasp_network_red_avisp,The Wasp Network / Red Avispa,org,6,2,4,33%
rub_p_robert_f_williams,Robert F. Williams,person,6,0,6,0%
rub_students_for_a_democratic,Students for a Democratic Society,org,6,0,6,0%
p_arizona_palestine_solidarity_alliance,Arizona Palestine Solidarity Alliance,project,5,2,3,40%
p_assata_s_daughters,Assata’s Daughters,project,5,3,2,60%
p_hands_up_united,Hands Up United,project,5,5,0,100%
p_just_info,Just Info,project,5,4,1,80%
p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,project,5,5,0,100%
p_stop_mass_incarceration_network,Stop Mass Incarceration Network,project,5,3,2,60%
ncri_report,Following the Benjamins: How a $48 Million Foundation Operated an Iran-Aligned Influence Network Outside State Oversight in Florida,concept,5,0,5,0%
bap,Black Alliance for Peace,org,5,2,3,40%
tighe_barry,Tighe Barry,person,5,3,2,60%
puf,Progress Unity Fund,org,5,2,3,40%
die_linke,Die Linke,org,5,5,0,100%
rls_berlin,Rosa-Luxemburg-Stiftung e.V. (Berlin),org,5,5,0,100%
dpaul,David Paul,person,5,1,4,20%
tfa,Task Force on the Americas,org,5,2,3,40%
jvp,Jewish Voice for Peace (JVP),org,5,1,4,20%
hub_leni_villag_mez_reeves,Leni Villagómez Reeves,person,5,0,5,0%
marsh,"Nadia Marsh, MD",person,5,2,3,40%
hub_occupy_sandy,Occupy Sandy,org,5,0,5,0%
per_banbose_shango,Banbose Shango,person,5,1,4,20%
hub_green_party,Green Party,org,5,0,5,0%
rub_democratic_front_for_the_l,Democratic Front for the Liberation of Palestine,org,5,0,5,0%
rub_black_lives_matter_global,Black Lives Matter Global Network Foundation,org,5,1,4,20%
rub_p_bernardine_dohrn,Bernardine Dohrn,person,5,0,5,0%
rub_p_opal_tometi,Opal Tometi,person,5,0,5,0%
rub_palestinian_islamic_jihad,Palestinian Islamic Jihad,org,5,0,5,0%
ev_nica_delegation_2021,AFGJ Intl Delegation to Nicaragua (Jul 2021),concept,4,4,0,100%
p_adastra,AdAstra,project,4,4,0,100%
p_cindy_sheehan_s_soapbox,Cindy Sheehan’s Soapbox,project,4,3,1,75%
p_kevin_zeese_emerging_activists_fund,Kevin Zeese Emerging Activists Fund,project,4,3,1,75%
p_kindred_connections,Kindred Connections,project,4,4,0,100%
p_march_4_racial_justice,March 4 Racial Justice,project,4,4,0,100%
p_movement_net_lab,Movement Net Lab,project,4,4,0,100%
p_queer_food_foundation,Queer Food Foundation,project,4,4,0,100%
p_south_bronx_unite,South Bronx Unite,project,4,4,0,100%
p_taking_black_pride,Taking Black Pride,project,4,4,0,100%
p_youth_vs_apocalypse,Youth Vs Apocalypse,project,4,4,0,100%
gbi,General Baker Institute,org,4,1,3,25%
ev_fsp_caracas_2019,25th Foro de São Paulo (Caracas 2019),concept,4,4,0,100%
chak,Tings Chak,person,4,1,3,25%
fsp,Foro de São Paulo,concept,4,3,1,75%
jacobin,Jacobin,org,4,3,1,75%
earle,Ethan Earle,person,4,4,0,100%
uspc,US Peace Council,org,4,3,1,75%
hub_andira_alves,Andira Alves,person,4,1,3,25%
per_cheri_honkala,Cheri Honkala,person,4,1,3,25%
per_dakotah_lilly,Dakotah Lilly,person,4,1,3,25%
hub_lawyers_better_housing,Lawyers’ Committee for Better Housing,org,4,0,4,0%
hub_women_in_black,Women in Black,org,4,0,4,0%
per_t_loving,T Loving,person,4,1,3,25%
per_vik_velazquez_morales,Vikó Velazquez Morales,person,4,1,3,25%
per_tamara_shapiro,Tamara Shapiro,person,4,1,3,25%
rub_hezbollah,Hezbollah,org,4,0,4,0%
rub_p_antonio_guerrero,Antonio Guerrero,person,4,0,4,0%
rub_p_bill_ayers,Bill Ayers,person,4,0,4,0%
rub_republic_of_new_afrika,Republic of New Afrika,org,4,0,4,0%
rub_p_gerardo_hern_ndez,Gerardo Hernández,person,4,0,4,0%
rub_p_paul_larudee,Paul Larudee,person,4,0,4,0%
rub_p_ram_n_laba_ino,Ramón Labañino,person,4,0,4,0%
rub_p_ren_gonz_lez,René González,person,4,0,4,0%
chung,David Sung Mo Chung,person,4,0,4,0%
khalek,Rania Abdul Khalek,person,4,0,4,0%
p_alianza_ind_gena_sin_fronteras_indigen,Alianza Indígena Sin Fronteras / Indigenous Alliance Without Borders,project,3,3,0,100%
p_black_lives_matter_oklahoma_city,Black Lives Matter-Oklahoma City,project,3,2,1,67%
p_black_movement_law_project,Black Movement Law Project,project,3,3,0,100%
p_black_trans_media,Black Trans Media,project,3,1,2,33%
p_black_trans_travel_fund,Black Trans Travel Fund,project,3,2,1,67%
p_change_links_newspaper,Change-Links Newspaper,project,3,3,0,100%
p_chicago_housing_initiative,Chicago Housing Initiative,project,3,3,0,100%
p_honduras_solidarity_network,Honduras Solidarity Network,project,3,1,2,33%
p_orinoco_tribune,Orinoco Tribune,project,3,2,1,67%
p_poor_people_s_economic_human_rights_ca,Poor People’s Economic Human Rights Campaign,project,3,2,1,67%
p_trans_women_of_color_solidarity_networ,Trans Women of Color Solidarity Network,project,3,3,0,100%
alvin_benjamin,Alvin Benjamin (1920-2012),person,3,1,2,33%
baptist,William Willie Baptist Jr.,person,3,0,3,0%
ev_wfys_2005,16th World Festival of Youth & Students (Caracas 2005),concept,3,3,0,100%
iran_foreign_ministry,Iranian Ministry of Foreign Affairs,org,3,1,2,33%
new_horizon,New Horizon Organization,org,3,2,1,67%
frso,Freedom Road Socialist Organization,org,3,2,1,67%
clarkgollub,Jill Clark-Gollub,person,3,2,1,67%
ev_ipa_founding_2019,IPA Founding Assembly (Caracas Feb 2019),concept,3,3,0,100%
pel,Party of the European Left,org,3,3,0,100%
dsa_fund,DSA Fund,org,3,3,0,100%
duhalde,David Duhalde,person,3,3,0,100%
o4p,Organizing for Power (O4P),project,3,3,0,100%
ensler,Eve Ensler,person,3,1,2,33%
friendsatc,Friends of the ATC,org,3,2,1,67%
hoyt,Katherine Hoyt,person,3,1,2,33%
hrizi,Nathalie Patricia Hrizi,person,3,0,3,0%
hu,Rachel Hu,person,3,1,2,33%
jordan,James Patrick Jordan,person,3,1,2,33%
kuang,Savannah Kuang,person,3,1,2,33%
hub_will_kohr,Will Kohr,person,3,0,3,0%
leila_zand,Leila Zand,person,3,2,1,67%
ev_maduro_inaug_2025,Maduro 3rd Inauguration (Jan 10 2025),concept,3,3,0,100%
niac,National Iranian American Council (NIAC),org,3,1,2,33%
nunez,Marlon Matthew Nunez,person,3,3,0,100%
per_allen_kwabena_frimpong,Allen Kwabena Frimpong,person,3,2,1,67%
hub_movement_netlab,Movement NetLab,org,3,0,3,0%
hub_ifnotnow,IfNotNow,org,3,0,3,0%
per_andrea_ciannavei,Andrea Ciannavei,person,3,2,1,67%
hub_women_s_march,Women’s March,org,3,0,3,0%
hub_military_families_speak_out,Military Families Speak Out,org,3,0,3,0%
per_debra_sweet,Debra Sweet,person,3,1,2,33%
per_diane_limas,Diane Limas,person,3,1,2,33%
hub_communities_united,Communities United,org,3,0,3,0%
per_elaine_brower,Elaine Brower,person,3,1,2,33%
per_elisabeth_epps,Elisabeth Epps,person,3,1,2,33%
per_frank_avellone,Frank Avellone,person,3,1,2,33%
hub_opposed_to_militarism_draft,Committee Opposed to Militarism & the Draft,org,3,0,3,0%
hub_green_shadow_cabinet,Green Shadow Cabinet,org,3,0,3,0%
per_khafre_jay,Khafre Jay,person,3,1,2,33%
hub_mott_haven_port_morris_community_land_st,Mott Haven-Port Morris Community Land Stewards,org,3,0,3,0%
per_mirely_baca,Mirely Baca,person,3,1,2,33%
per_nate_kleinman,Nate Kleinman,person,3,1,2,33%
per_nathan_sheard,Nathan Sheard,person,3,1,2,33%
per_pablo_benson_silva,Pablo Benson-Silva,person,3,1,2,33%
per_rachel_o_leary_carmona,Rachel O'Leary Carmona,person,3,1,2,33%
per_sunsara_taylor,Sunsara Taylor,person,3,1,2,33%
per_tara_thompson,Tara Thompson,person,3,1,2,33%
per_taureen_tory_russell,"Taureen ""Tory"" Russell",person,3,1,2,33%
rose_benjamin,Rose Benjamin,person,3,1,2,33%
rub_amistur_cuba_sa,Amistur Cuba SA,org,3,3,0,100%
rub_fair_play_for_cuba_committ,Fair Play for Cuba Committee,org,3,0,3,0%
rub_international_may_day_brig,International May Day Brigade,org,3,3,0,100%
rub_p_alicia_garza,Alicia Garza,person,3,0,3,0%
rub_p_angela_davis,Angela Davis,person,3,0,3,0%
rub_thousand_currents,Thousand Currents,org,3,1,2,33%
rub_p_kathy_boudin,Kathy Boudin,person,3,0,3,0%
rub_p_nayef_hawatmeh,Nayef Hawatmeh,person,3,0,3,0%
rub_p_onyesonwu_chatoyer,Onyesonwu Chatoyer,person,3,3,0,100%
rub_palestine_liberation_organ,Palestine Liberation Organization,org,3,0,3,0%
sunkara,Bhaskar Sunkara,person,3,2,1,67%
theoharis,Rev. Dr. Elizabeth Armen Liz Theoharis,person,3,1,2,33%
xiao,Sheila Xiao,person,3,2,1,67%
kramer,Marian Kramer,person,3,0,3,0%
ev_nica_election_2021,Nicaragua General Election (Nov 2021),concept,2,1,1,50%
p_arizona_educators_united,Arizona Educators United,project,2,1,1,50%
p_black_and_pink_ma,Black and Pink MA,project,2,2,0,100%
p_colorado_freedom_fund,Colorado Freedom Fund,project,2,2,0,100%
p_corporate_genome_project,Corporate Genome Project,project,2,2,0,100%
p_friends_of_asociaci_n_de_trabajadores_,Friends of Asociación de Trabajadores Campesinos,project,2,2,0,100%
p_good_shepherd_collective,Good Shepherd Collective,project,2,1,1,50%
p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),project,2,2,0,100%
p_international_people_s_tribunal,International People’s Tribunal,project,2,1,1,50%
p_justice_for_all_coalition,Justice for All Coalition,project,2,2,0,100%
p_labor_against_racism_and_war,Labor Against Racism and War,project,2,1,1,50%
p_los_angeles_community_action_network,Los Angeles Community Action Network,project,2,2,0,100%
p_nappy_roots_books,Nappy Roots Books,project,2,2,0,100%
p_national_immigrant_solidarity_network,National Immigrant Solidarity Network,project,2,1,1,50%
p_never_again_action,Never Again Action,project,2,2,0,100%
p_people_helping_people,People Helping People,project,2,1,1,50%
p_real_food_generation,Real Food Generation,project,2,2,0,100%
p_splitseed_productions,SplitSeed Productions,project,2,2,0,100%
p_sustainable_orphanages_for_haitian_you,Sustainable Orphanages for Haitian Youth,project,2,2,0,100%
p_thompson_house_tucson,Thompson House Tucson,project,2,2,0,100%
p_united_students_against_sweatshops,United Students Against Sweatshops,project,2,2,0,100%
p_werk_for_peace,WERK for Peace,project,2,2,0,100%
alhusseini,Ibrahim AlHusseini,person,2,2,0,100%
anderson-figueroa,Jo Anderson-Figueroa,person,2,0,2,0%
ccr,Center for Constitutional Rights,org,2,1,1,50%
atc,ATC — Asociación de Trabajadores del Campo,org,2,1,1,50%
baker_gordon,General Gordon Baker Jr.,person,2,0,2,0%
balagun,Kazembe Balagun,person,2,2,0,100%
belen,Matthew Matt Belen,person,2,0,2,0%
bello,Walden Bello,person,2,1,1,50%
bertoldi,Manuel Bertoldi,person,2,2,0,100%
albamov,ALBA Movimientos,concept,2,2,0,100%
bounds,Tajee Bounds,person,2,0,2,0%
syriza,SYRIZA,org,2,2,0,100%
bugni,Renata Porto Bugni,person,2,1,1,50%
burke,Tom Burke,person,2,2,0,100%
camacaro,William Camacaro,person,2,2,0,100%
caruso,Christopher Chris Caruso,person,2,1,1,50%
cea_weaver,Cea Weaver,person,2,2,0,100%
chua,Heidi Chua,person,2,2,0,100%
hispantv,HispanTV,org,2,1,1,50%
cook,Claire Cook,person,2,1,1,50%
